signature_id	gene_symbol	universe	available
hgf_met_axis	HGF	hgnc_approved	yes
hgf_met_axis	HGF	tcga_coad	yes
hgf_met_axis	MET	hgnc_approved	yes
hgf_met_axis	MET	tcga_coad	yes
myc_glycolysis_core	MYC	hgnc_approved	yes
myc_glycolysis_core	MYC	tcga_coad	yes
myc_glycolysis_core	SLC2A1	hgnc_approved	yes
myc_glycolysis_core	SLC2A1	tcga_coad	yes
myc_glycolysis_core	HK2	hgnc_approved	yes
myc_glycolysis_core	HK2	tcga_coad	yes
myc_glycolysis_core	PGK1	hgnc_approved	yes
myc_glycolysis_core	PGK1	tcga_coad	yes
myc_glycolysis_core	TPI1	hgnc_approved	yes
myc_glycolysis_core	TPI1	tcga_coad	yes
myc_glycolysis_core	LDHA	hgnc_approved	yes
myc_glycolysis_core	LDHA	tcga_coad	yes
myc_glycolysis_core	ENO1	hgnc_approved	yes
myc_glycolysis_core	ENO1	tcga_coad	yes
caf_core	COL1A1	hgnc_approved	yes
caf_core	COL1A1	tcga_coad	yes
caf_core	COL1A2	hgnc_approved	yes
caf_core	COL1A2	tcga_coad	yes
caf_core	ACTA2	hgnc_approved	yes
caf_core	ACTA2	tcga_coad	yes
caf_core	FAP	hgnc_approved	yes
caf_core	FAP	tcga_coad	yes
caf_core	POSTN	hgnc_approved	yes
caf_core	POSTN	tcga_coad	yes
caf_core	PDGFRA	hgnc_approved	yes
caf_core	PDGFRA	tcga_coad	yes
caf_core	PDGFRB	hgnc_approved	yes
caf_core	PDGFRB	tcga_coad	yes
mcam_caf	MCAM	hgnc_approved	yes
mcam_caf	MCAM	tcga_coad	yes
mcam_caf	COL1A1	hgnc_approved	yes
mcam_caf	COL1A1	tcga_coad	yes
mcam_caf	COL1A2	hgnc_approved	yes
mcam_caf	COL1A2	tcga_coad	yes
mcam_caf	ACTA2	hgnc_approved	yes
mcam_caf	ACTA2	tcga_coad	yes
cxcl13_t_cells	CXCL13	hgnc_approved	yes
cxcl13_t_cells	CXCL13	tcga_coad	yes
cxcl13_t_cells	CD3D	hgnc_approved	yes
cxcl13_t_cells	CD3D	tcga_coad	yes
cxcl13_t_cells	CD3E	hgnc_approved	yes
cxcl13_t_cells	CD3E	tcga_coad	yes
cxcl13_t_cells	CD4	hgnc_approved	yes
cxcl13_t_cells	CD4	tcga_coad	yes
cxcl13_t_cells	CD8A	hgnc_approved	yes
cxcl13_t_cells	CD8A	tcga_coad	yes
cxcl13_t_cells	CD8B	hgnc_approved	yes
cxcl13_t_cells	CD8B	tcga_coad	yes
macrophage_lipid_candidate	CD68	hgnc_approved	yes
macrophage_lipid_candidate	CD68	tcga_coad	yes
macrophage_lipid_candidate	CD14	hgnc_approved	yes
macrophage_lipid_candidate	CD14	tcga_coad	yes
macrophage_lipid_candidate	FCGR3A	hgnc_approved	yes
macrophage_lipid_candidate	FCGR3A	tcga_coad	yes
macrophage_lipid_candidate	CD1C	hgnc_approved	yes
macrophage_lipid_candidate	CD1C	tcga_coad	yes
macrophage_lipid_candidate	CXCL10	hgnc_approved	yes
macrophage_lipid_candidate	CXCL10	tcga_coad	yes
macrophage_lipid_candidate	CX3CR1	hgnc_approved	yes
macrophage_lipid_candidate	CX3CR1	tcga_coad	yes
macrophage_lipid_candidate	APOE	hgnc_approved	yes
macrophage_lipid_candidate	APOE	tcga_coad	yes
macrophage_lipid_candidate	LPL	hgnc_approved	yes
macrophage_lipid_candidate	LPL	tcga_coad	yes
plasticity_emt	BHLHE40	hgnc_approved	yes
plasticity_emt	BHLHE40	tcga_coad	yes
plasticity_emt	VIM	hgnc_approved	yes
plasticity_emt	VIM	tcga_coad	yes
plasticity_emt	ZEB1	hgnc_approved	yes
plasticity_emt	ZEB1	tcga_coad	yes
plasticity_emt	EPCAM	hgnc_approved	yes
plasticity_emt	EPCAM	tcga_coad	yes
plasticity_emt	CDH1	hgnc_approved	yes
plasticity_emt	CDH1	tcga_coad	yes
plasticity_emt	LGR5	hgnc_approved	yes
plasticity_emt	LGR5	tcga_coad	yes
spp1_cxcl12_caf_myeloid_axis	SPP1	hgnc_approved	yes
spp1_cxcl12_caf_myeloid_axis	SPP1	tcga_coad	yes
spp1_cxcl12_caf_myeloid_axis	CXCL12	hgnc_approved	yes
spp1_cxcl12_caf_myeloid_axis	CXCL12	tcga_coad	yes
spp1_cxcl12_caf_myeloid_axis	CD44	hgnc_approved	yes
spp1_cxcl12_caf_myeloid_axis	CD44	tcga_coad	yes
spp1_cxcl12_caf_myeloid_axis	MIF	hgnc_approved	yes
spp1_cxcl12_caf_myeloid_axis	MIF	tcga_coad	yes
spp1_cxcl12_caf_myeloid_axis	FN1	hgnc_approved	yes
spp1_cxcl12_caf_myeloid_axis	FN1	tcga_coad	yes
spp1_cxcl12_caf_myeloid_axis	HIF1A	hgnc_approved	yes
spp1_cxcl12_caf_myeloid_axis	HIF1A	tcga_coad	yes
spp1_cxcl12_caf_myeloid_axis	CTNNB1	hgnc_approved	yes
spp1_cxcl12_caf_myeloid_axis	CTNNB1	tcga_coad	yes
spp1_macrophage_fads1_pdgfb_axis	SPP1	hgnc_approved	yes
spp1_macrophage_fads1_pdgfb_axis	SPP1	tcga_coad	yes
spp1_macrophage_fads1_pdgfb_axis	PDGFB	hgnc_approved	yes
spp1_macrophage_fads1_pdgfb_axis	PDGFB	tcga_coad	yes
spp1_macrophage_fads1_pdgfb_axis	PDGFRB	hgnc_approved	yes
spp1_macrophage_fads1_pdgfb_axis	PDGFRB	tcga_coad	yes
spp1_macrophage_fads1_pdgfb_axis	FADS1	hgnc_approved	yes
spp1_macrophage_fads1_pdgfb_axis	FADS1	tcga_coad	yes
spp1_macrophage_fads1_pdgfb_axis	VIM	hgnc_approved	yes
spp1_macrophage_fads1_pdgfb_axis	VIM	tcga_coad	yes
spp1_macrophage_fads1_pdgfb_axis	ZEB1	hgnc_approved	yes
spp1_macrophage_fads1_pdgfb_axis	ZEB1	tcga_coad	yes
hla_drb5_macrophage_axis	HLA-DRB5	hgnc_approved	yes
hla_drb5_macrophage_axis	HLA-DRB5	tcga_coad	yes
hla_drb5_macrophage_axis	CD74	hgnc_approved	yes
hla_drb5_macrophage_axis	CD74	tcga_coad	yes
hla_drb5_macrophage_axis	CXCR4	hgnc_approved	yes
hla_drb5_macrophage_axis	CXCR4	tcga_coad	yes
hla_drb5_macrophage_axis	LGALS9	hgnc_approved	yes
hla_drb5_macrophage_axis	LGALS9	tcga_coad	yes
hla_drb5_macrophage_axis	PTPRC	hgnc_approved	yes
hla_drb5_macrophage_axis	PTPRC	tcga_coad	yes
