accession	archive_or_file	name	time	size_bytes	type	url
GSE225857	Archive	GSE225857_RAW.tar	09/22/2023 13:47:09	636508160	TAR	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE225nnn/GSE225857/suppl/GSE225857_RAW.tar
GSE225857	File	GSM7058754_immune_counts.txt.gz	02/16/2023 22:01:10	224338701	TXT	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058754/suppl/GSM7058754_immune_counts.txt.gz
GSE225857	File	GSM7058754_immune_meta.txt.gz	02/16/2023 21:56:19	10089020	TXT	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058754/suppl/GSM7058754_immune_meta.txt.gz
GSE225857	File	GSM7058755_non_immune_counts.txt.gz	02/16/2023 21:57:45	90363024	TXT	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058755/suppl/GSM7058755_non_immune_counts.txt.gz
GSE225857	File	GSM7058755_non_immune_meta.txt.gz	02/16/2023 21:57:45	1979260	TXT	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058755/suppl/GSM7058755_non_immune_meta.txt.gz
GSE225857	File	GSM7058756_C1.barcodes.tsv.gz	02/17/2023 06:09:51	11983	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058756/suppl/GSM7058756_C1.barcodes.tsv.gz
GSE225857	File	GSM7058756_C1.features.tsv.gz	02/17/2023 06:09:53	155265	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058756/suppl/GSM7058756_C1.features.tsv.gz
GSE225857	File	GSM7058756_C1.matrix.mtx.gz	02/17/2023 06:16:32	48358651	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058756/suppl/GSM7058756_C1.matrix.mtx.gz
GSE225857	File	GSM7058756_C1_aligned_fiducials.jpg.gz	09/22/2023 13:47:06	1774954	JPG	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058756/suppl/GSM7058756_C1_aligned_fiducials.jpg.gz
GSE225857	File	GSM7058756_C1_detected_tissue_image.jpg.gz	09/22/2023 13:47:06	2320739	JPG	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058756/suppl/GSM7058756_C1_detected_tissue_image.jpg.gz
GSE225857	File	GSM7058756_C1_scalefactors_json.json.gz	09/22/2023 13:47:06	162	JSON	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058756/suppl/GSM7058756_C1_scalefactors_json.json.gz
GSE225857	File	GSM7058756_C1_tissue_hires_image.png.gz	02/22/2023 14:36:54	4974590	PNG	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058756/suppl/GSM7058756_C1_tissue_hires_image.png.gz
GSE225857	File	GSM7058756_C1_tissue_lowres_image.png.gz	02/22/2023 14:36:54	466373	PNG	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058756/suppl/GSM7058756_C1_tissue_lowres_image.png.gz
GSE225857	File	GSM7058756_C1_tissue_positions_list.csv.gz	09/22/2023 13:47:06	54319	CSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058756/suppl/GSM7058756_C1_tissue_positions_list.csv.gz
GSE225857	File	GSM7058757_C2.barcodes.tsv.gz	02/17/2023 06:10:30	18909	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058757/suppl/GSM7058757_C2.barcodes.tsv.gz
GSE225857	File	GSM7058757_C2.features.tsv.gz	02/17/2023 06:10:31	155265	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058757/suppl/GSM7058757_C2.features.tsv.gz
GSE225857	File	GSM7058757_C2.matrix.mtx.gz	02/17/2023 06:12:19	44188962	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058757/suppl/GSM7058757_C2.matrix.mtx.gz
GSE225857	File	GSM7058757_C2_aligned_fiducials.jpg.gz	09/22/2023 13:47:07	2213556	JPG	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058757/suppl/GSM7058757_C2_aligned_fiducials.jpg.gz
GSE225857	File	GSM7058757_C2_detected_tissue_image.jpg.gz	09/22/2023 13:47:07	2530526	JPG	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058757/suppl/GSM7058757_C2_detected_tissue_image.jpg.gz
GSE225857	File	GSM7058757_C2_scalefactors_json.json.gz	09/22/2023 13:47:07	160	JSON	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058757/suppl/GSM7058757_C2_scalefactors_json.json.gz
GSE225857	File	GSM7058757_C2_tissue_hires_image.png.gz	02/22/2023 14:36:54	6375769	PNG	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058757/suppl/GSM7058757_C2_tissue_hires_image.png.gz
GSE225857	File	GSM7058757_C2_tissue_lowres_image.png.gz	02/22/2023 14:36:54	589061	PNG	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058757/suppl/GSM7058757_C2_tissue_lowres_image.png.gz
GSE225857	File	GSM7058757_C2_tissue_positions_list.csv.gz	09/22/2023 13:47:07	54463	CSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058757/suppl/GSM7058757_C2_tissue_positions_list.csv.gz
GSE225857	File	GSM7058758_C3.barcodes.tsv.gz	02/17/2023 06:10:32	19589	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058758/suppl/GSM7058758_C3.barcodes.tsv.gz
GSE225857	File	GSM7058758_C3.features.tsv.gz	02/17/2023 06:10:32	155265	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058758/suppl/GSM7058758_C3.features.tsv.gz
GSE225857	File	GSM7058758_C3.matrix.mtx.gz	02/17/2023 06:12:36	48983684	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058758/suppl/GSM7058758_C3.matrix.mtx.gz
GSE225857	File	GSM7058758_C3_aligned_fiducials.jpg.gz	09/22/2023 13:47:07	2222881	JPG	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058758/suppl/GSM7058758_C3_aligned_fiducials.jpg.gz
GSE225857	File	GSM7058758_C3_detected_tissue_image.jpg.gz	09/22/2023 13:47:07	2564246	JPG	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058758/suppl/GSM7058758_C3_detected_tissue_image.jpg.gz
GSE225857	File	GSM7058758_C3_scalefactors_json.json.gz	09/22/2023 13:47:07	165	JSON	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058758/suppl/GSM7058758_C3_scalefactors_json.json.gz
GSE225857	File	GSM7058758_C3_tissue_hires_image.png.gz	02/22/2023 14:36:54	6552174	PNG	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058758/suppl/GSM7058758_C3_tissue_hires_image.png.gz
GSE225857	File	GSM7058758_C3_tissue_lowres_image.png.gz	02/22/2023 14:36:55	602575	PNG	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058758/suppl/GSM7058758_C3_tissue_lowres_image.png.gz
