sample_id	sample	x	y	pearson_r	n_spots
GSM6716963_19G081	19G081	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	0.45340177747503707	2887
GSM6716963_19G081	19G081	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	0.3306219322333577	2887
GSM6716963_19G081	19G081	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	0.7497498612563287	2887
GSM6716963_19G081	19G081	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	0.1696781133806303	2887
GSM6716963_19G081	19G081	SPP1	CXCL12	-0.011102341804467146	2887
GSM6716963_19G081	19G081	SPP1	CD44	0.158426053739575	2887
GSM6716963_19G081	19G081	MIF	CXCR4	0.06674910231120768	2887
GSM6716963_19G081	19G081	MET	MYC	0.29919521548817024	2887
GSM6716963_19G081	19G081	MYC	score_myc_glycolysis_desoverlap_2026	0.854066631174931	2887
GSM6716964_19G0619	19G0619	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	0.014331823394573163	3379
GSM6716964_19G0619	19G0619	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	0.23634239422492795	3379
GSM6716964_19G0619	19G0619	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	0.3228353406428506	3379
GSM6716964_19G0619	19G0619	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	0.08111169051509332	3379
GSM6716964_19G0619	19G0619	SPP1	CXCL12	-0.0031893296614141134	3379
GSM6716964_19G0619	19G0619	SPP1	CD44	0.06813845874678019	3379
GSM6716964_19G0619	19G0619	MIF	CXCR4	-0.025313719508244435	3379
GSM6716964_19G0619	19G0619	MET	MYC	0.008113859990850082	3379
GSM6716964_19G0619	19G0619	MYC	score_myc_glycolysis_desoverlap_2026	0.736754117230674	3379
GSM6716965_19G0635	19G0635	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	0.6469202981606034	2091
GSM6716965_19G0635	19G0635	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	0.4102155010297376	2091
GSM6716965_19G0635	19G0635	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	0.7889116423982941	2091
GSM6716965_19G0635	19G0635	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	0.18442926735822635	2091
GSM6716965_19G0635	19G0635	SPP1	CXCL12	0.08480742640764878	2091
GSM6716965_19G0635	19G0635	SPP1	CD44	0.34007882179277305	2091
GSM6716965_19G0635	19G0635	MIF	CXCR4	0.052819107917233404	2091
GSM6716965_19G0635	19G0635	MET	MYC	0.4368829210370674	2091
GSM6716965_19G0635	19G0635	MYC	score_myc_glycolysis_desoverlap_2026	0.9107049561162259	2091
GSM6716966_19G02977	19G02977	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	0.590271530915438	2317
GSM6716966_19G02977	19G02977	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	0.1464631511895382	2317
GSM6716966_19G02977	19G02977	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	0.6363683080791427	2317
GSM6716966_19G02977	19G02977	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	0.09580940577919399	2317
GSM6716966_19G02977	19G02977	SPP1	CXCL12	-0.012530359037638123	2317
GSM6716966_19G02977	19G02977	SPP1	CD44	0.05675443721486288	2317
GSM6716966_19G02977	19G02977	MIF	CXCR4	0.0007642807187274504	2317
GSM6716966_19G02977	19G02977	MET	MYC	0.18436668598939743	2317
GSM6716966_19G02977	19G02977	MYC	score_myc_glycolysis_desoverlap_2026	0.8605615964084161	2317
