sample_id	sample	signature_id	expected_genes	usable_genes	usable_gene_symbols
GSM6716963_19G081	19G081	caf_core	7	7	COL1A1,COL1A2,ACTA2,FAP,POSTN,PDGFRA,PDGFRB
GSM6716963_19G081	19G081	mcam_caf	4	4	MCAM,COL1A1,COL1A2,ACTA2
GSM6716963_19G081	19G081	spp1_cxcl12_caf_myeloid_axis	7	7	SPP1,CXCL12,CD44,MIF,FN1,HIF1A,CTNNB1
GSM6716963_19G081	19G081	spp1_cxcl12_axis_desoverlap_2026	5	5	CXCL12,CD44,FN1,HIF1A,CTNNB1
GSM6716963_19G081	19G081	hla_drb5_macrophage_axis	7	6	HLA-DRB5,CD74,CXCR4,PTPRC,SPP1,MIF
GSM6716963_19G081	19G081	hla_drb5_macrophage_axis_desoverlap_2026	5	4	HLA-DRB5,CD74,CXCR4,PTPRC
GSM6716963_19G081	19G081	myc_glycolysis_core	7	5	MYC,SLC2A1,HK2,PGK1,ENO1
GSM6716963_19G081	19G081	myc_glycolysis_desoverlap_2026	4	4	MYC,HK2,PGK1,ENO1
GSM6716963_19G081	19G081	glut1_invasive_margin_axis	5	5	SLC2A1,CD8A,GZMB,PRF1,MKI67
GSM6716963_19G081	19G081	cxcl13_t_cells	6	6	CXCL13,CD3D,CD3E,CD4,CD8A,CD8B
GSM6716963_19G081	19G081	crlm_metabolic_vulnerabilities_2026	9	8	FTCD,GPD1,SOD2,EIF4B,NDRG1,PIM1,PIM2,PIM3
GSM6716964_19G0619	19G0619	caf_core	7	7	COL1A1,COL1A2,ACTA2,FAP,POSTN,PDGFRA,PDGFRB
GSM6716964_19G0619	19G0619	mcam_caf	4	4	MCAM,COL1A1,COL1A2,ACTA2
GSM6716964_19G0619	19G0619	spp1_cxcl12_caf_myeloid_axis	7	7	SPP1,CXCL12,CD44,MIF,FN1,HIF1A,CTNNB1
GSM6716964_19G0619	19G0619	spp1_cxcl12_axis_desoverlap_2026	5	5	CXCL12,CD44,FN1,HIF1A,CTNNB1
GSM6716964_19G0619	19G0619	hla_drb5_macrophage_axis	7	6	HLA-DRB5,CD74,CXCR4,PTPRC,SPP1,MIF
GSM6716964_19G0619	19G0619	hla_drb5_macrophage_axis_desoverlap_2026	5	4	HLA-DRB5,CD74,CXCR4,PTPRC
GSM6716964_19G0619	19G0619	myc_glycolysis_core	7	5	MYC,SLC2A1,HK2,PGK1,ENO1
GSM6716964_19G0619	19G0619	myc_glycolysis_desoverlap_2026	4	4	MYC,HK2,PGK1,ENO1
GSM6716964_19G0619	19G0619	glut1_invasive_margin_axis	5	5	SLC2A1,CD8A,GZMB,PRF1,MKI67
GSM6716964_19G0619	19G0619	cxcl13_t_cells	6	6	CXCL13,CD3D,CD3E,CD4,CD8A,CD8B
GSM6716964_19G0619	19G0619	crlm_metabolic_vulnerabilities_2026	9	8	FTCD,GPD1,SOD2,EIF4B,NDRG1,PIM1,PIM2,PIM3
GSM6716965_19G0635	19G0635	caf_core	7	7	COL1A1,COL1A2,ACTA2,FAP,POSTN,PDGFRA,PDGFRB
GSM6716965_19G0635	19G0635	mcam_caf	4	4	MCAM,COL1A1,COL1A2,ACTA2
GSM6716965_19G0635	19G0635	spp1_cxcl12_caf_myeloid_axis	7	7	SPP1,CXCL12,CD44,MIF,FN1,HIF1A,CTNNB1
GSM6716965_19G0635	19G0635	spp1_cxcl12_axis_desoverlap_2026	5	5	CXCL12,CD44,FN1,HIF1A,CTNNB1
GSM6716965_19G0635	19G0635	hla_drb5_macrophage_axis	7	6	HLA-DRB5,CD74,CXCR4,PTPRC,SPP1,MIF
GSM6716965_19G0635	19G0635	hla_drb5_macrophage_axis_desoverlap_2026	5	4	HLA-DRB5,CD74,CXCR4,PTPRC
GSM6716965_19G0635	19G0635	myc_glycolysis_core	7	5	MYC,SLC2A1,HK2,PGK1,ENO1
GSM6716965_19G0635	19G0635	myc_glycolysis_desoverlap_2026	4	4	MYC,HK2,PGK1,ENO1
GSM6716965_19G0635	19G0635	glut1_invasive_margin_axis	5	5	SLC2A1,CD8A,GZMB,PRF1,MKI67
GSM6716965_19G0635	19G0635	cxcl13_t_cells	6	6	CXCL13,CD3D,CD3E,CD4,CD8A,CD8B
GSM6716965_19G0635	19G0635	crlm_metabolic_vulnerabilities_2026	9	8	FTCD,GPD1,SOD2,EIF4B,NDRG1,PIM1,PIM2,PIM3
GSM6716966_19G02977	19G02977	caf_core	7	7	COL1A1,COL1A2,ACTA2,FAP,POSTN,PDGFRA,PDGFRB
GSM6716966_19G02977	19G02977	mcam_caf	4	4	MCAM,COL1A1,COL1A2,ACTA2
GSM6716966_19G02977	19G02977	spp1_cxcl12_caf_myeloid_axis	7	7	SPP1,CXCL12,CD44,MIF,FN1,HIF1A,CTNNB1
GSM6716966_19G02977	19G02977	spp1_cxcl12_axis_desoverlap_2026	5	5	CXCL12,CD44,FN1,HIF1A,CTNNB1
GSM6716966_19G02977	19G02977	hla_drb5_macrophage_axis	7	6	HLA-DRB5,CD74,CXCR4,PTPRC,SPP1,MIF
GSM6716966_19G02977	19G02977	hla_drb5_macrophage_axis_desoverlap_2026	5	4	HLA-DRB5,CD74,CXCR4,PTPRC
GSM6716966_19G02977	19G02977	myc_glycolysis_core	7	5	MYC,SLC2A1,HK2,PGK1,ENO1
GSM6716966_19G02977	19G02977	myc_glycolysis_desoverlap_2026	4	4	MYC,HK2,PGK1,ENO1
GSM6716966_19G02977	19G02977	glut1_invasive_margin_axis	5	5	SLC2A1,CD8A,GZMB,PRF1,MKI67
GSM6716966_19G02977	19G02977	cxcl13_t_cells	6	6	CXCL13,CD3D,CD3E,CD4,CD8A,CD8B
GSM6716966_19G02977	19G02977	crlm_metabolic_vulnerabilities_2026	9	8	FTCD,GPD1,SOD2,EIF4B,NDRG1,PIM1,PIM2,PIM3
