celltype	category	CCT_count	LCT_count	total	pct_in_LCT	frac_CCT	frac_LCT	fold_enrichment_LCT
E01_endothelial_SELP	Endothelial	369	752	1121	67.1	0.023874	0.028446	1.1915
E02_endothelial_DLL4	Endothelial	175	751	926	81.1	0.011322	0.028408	2.5090
E03_endothelial_NOTCH3	Endothelial	64	368	432	85.2	0.004141	0.013920	3.3618
E04_endothelial_CD36	Endothelial	194	74	268	27.6	0.012552	0.002799	0.2230
E05_cycling_MKI67	Endothelial	22	34	56	60.7	0.001423	0.001286	0.9036
E06_endothelial_CLEC4G	Endothelial	1	41	42	97.6	0.000065	0.001551	23.9709
F01_fibroblast_PRELP	Fibroblast	1127	5091	6218	81.9	0.072917	0.192578	2.6411
F02_fibrblast_MCAM	Fibroblast	692	3387	4079	83.0	0.044772	0.128121	2.8616
F03_fibroblast_CXCL14	Fibroblast	2367	146	2513	5.8	0.153144	0.005523	0.0361
F04_fibroblast_C3	Fibroblast	266	1343	1609	83.5	0.017210	0.050802	2.9519
F05_fibroblast_COCH	Fibroblast	180	267	447	59.7	0.011646	0.010100	0.8672
F06_cycling_MKI67	Fibroblast	110	117	227	51.5	0.007117	0.004426	0.6219
Tu01_AREG	Tumor	1685	2951	4636	63.7	0.109019	0.111628	1.0239
Tu02_DEFA5	Tumor	132	4615	4747	97.2	0.008540	0.174573	20.4409
Tu03_SRRM2	Tumor	2171	1289	3460	37.3	0.140463	0.048759	0.3471
Tu04_RGMB	Tumor	997	1210	2207	54.8	0.064506	0.045771	0.7096
Tu05_PCNA	Tumor	817	1760	2577	68.3	0.052860	0.066576	1.2595
Tu06_NKD1	Tumor	2761	48	2809	1.7	0.178636	0.001816	0.0102
Tu07_MKI67	Tumor	782	1406	2188	64.3	0.050595	0.053185	1.0512
Tu08_GNG13	Tumor	79	465	544	85.5	0.005111	0.017590	3.4413
Tu09_MUC2	Tumor	167	53	220	24.1	0.010805	0.002005	0.1855
Tu10_COL3A1	Tumor	141	208	349	59.6	0.009123	0.007868	0.8625
Tu11_PLA2G2A	Tumor	157	60	217	27.6	0.010158	0.002270	0.2234
