gene	category	mean_expr	pct_expressing	n_cells
EPCAM	Tumor	14.5240	95.9	23954
EPCAM	Fibroblast	0.0860	6.7	15093
EPCAM	Endothelial	0.1090	7.8	2845
HGF	Tumor	0.0040	0.3	23954
HGF	Fibroblast	0.6740	30.1	15093
HGF	Endothelial	0.0720	4.6	2845
MCAM	Tumor	0.0280	1.9	23954
MCAM	Fibroblast	3.6160	36.2	15093
MCAM	Endothelial	3.1090	66.2	2845
MET	Tumor	0.3990	27.6	23954
MET	Fibroblast	0.0090	0.7	15093
MET	Endothelial	0.0930	7.4	2845
MYC	Tumor	1.2050	47.1	23954
MYC	Fibroblast	0.2660	15.9	15093
MYC	Endothelial	0.2450	16.2	2845
PGK1	Tumor	2.0460	60.8	23954
PGK1	Fibroblast	0.6490	39.5	15093
PGK1	Endothelial	0.7080	41.9	2845
SLC2A1	Tumor	0.5330	24.5	23954
SLC2A1	Fibroblast	0.0750	5.9	15093
SLC2A1	Endothelial	0.0410	3.6	2845
TPI1	Tumor	4.5980	87.0	23954
TPI1	Fibroblast	1.7980	67.6	15093
TPI1	Endothelial	1.3310	59.8	2845
