sample_id	tissue	x	y	pearson_r	n_spots
C1	CCT	score_caf_core	score_spp1_cxcl12_caf_myeloid_axis	0.6402511991898676	2054
C1	CCT	score_mcam_caf	score_spp1_cxcl12_caf_myeloid_axis	0.6467972468640782	2054
C1	CCT	score_caf_core	score_hla_drb5_macrophage_axis	0.7761208790405685	2054
C1	CCT	score_spp1_cxcl12_caf_myeloid_axis	score_hla_drb5_macrophage_axis	0.849291872565046	2054
C1	CCT	score_spp1_cxcl12_caf_myeloid_axis	score_myc_glycolysis_core	0.8714937384970894	2054
C1	CCT	score_hla_drb5_macrophage_axis	score_myc_glycolysis_core	0.6917396310400967	2054
C1	CCT	score_crlm_metabolic_vulnerabilities_2026	score_myc_glycolysis_core	0.9100914323975304	2054
C1	CCT	score_glut1_invasive_margin_axis	score_cxcl13_t_cells	0.36093714558634615	2054
C1	CCT	score_caf_core_desoverlap_2026	score_spp1_cxcl12_axis_desoverlap_2026	0.735168700116425	2054
C1	CCT	score_caf_core_desoverlap_2026	score_hla_drb5_macrophage_axis_desoverlap_2026	0.7912693850410581	2054
C1	CCT	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	0.7695984684364153	2054
C1	CCT	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	0.1962498428639237	2054
C1	CCT	MET	score_myc_glycolysis_core	0.8364884886184873	2054
C1	CCT	MYC	score_myc_glycolysis_core	0.8992266256914556	2054
C1	CCT	SPP1	CXCL12	0.2539363293761917	2054
C1	CCT	SPP1	CD44	0.32320633491868883	2054
C1	CCT	MIF	CXCR4	0.13959750211900335	2054
C1	CCT	HLA-DRB5	LGALS9	nan	2054
C2	CCT	score_caf_core	score_spp1_cxcl12_caf_myeloid_axis	0.7636594764821812	3305
C2	CCT	score_mcam_caf	score_spp1_cxcl12_caf_myeloid_axis	0.7056307254137093	3305
C2	CCT	score_caf_core	score_hla_drb5_macrophage_axis	0.7357360152760769	3305
C2	CCT	score_spp1_cxcl12_caf_myeloid_axis	score_hla_drb5_macrophage_axis	0.9499955237930712	3305
C2	CCT	score_spp1_cxcl12_caf_myeloid_axis	score_myc_glycolysis_core	0.8866938662164787	3305
C2	CCT	score_hla_drb5_macrophage_axis	score_myc_glycolysis_core	0.8609341633458207	3305
C2	CCT	score_crlm_metabolic_vulnerabilities_2026	score_myc_glycolysis_core	0.9178046750476624	3305
