sample_id	tissue	source	target	source_threshold	high_source_spots	neighbor_spots	background_spots	observed_neighbor_mean	observed_background_mean	observed_neighbor_vs_background_ratio	null_permutations	null_ratio_mean	null_ratio_sd	z_score	empirical_p_ge_observed
C1	CCT	caf_score	MET	1.8503078161032538	514	511	1029	1.3808439208144696	0.7332165000190517	1.8832690218763355	500	1.0040005749341328	0.044052519120248136	19.959549748837382	0.001996007984031936
C1	CCT	caf_score	MYC	1.8503078161032538	514	511	1029	3.622677213569666	2.787936439044065	1.2994116949136112	500	0.9977388515990883	0.0249621229748687	12.085223825643368	0.001996007984031936
C1	CCT	caf_score	glycolysis_score	1.8503078161032538	514	511	1029	1.5820601520105806	1.121302309780924	1.4109131303936024	500	1.0005628588613873	0.02244142370849127	18.28539387084202	0.001996007984031936
C1	CCT	HGF	MET	0.0	150	512	1392	1.3925047791946599	0.9501169490132376	1.4656140811306153	500	1.001517639779332	0.04359482541048655	10.64567725599027	0.001996007984031936
C1	CCT	HGF	MYC	0.0	150	512	1392	3.5813226539793295	3.103029320767035	1.154137548753186	500	0.999847942895925	0.02221635459877279	6.944866007215412	0.001996007984031936
C1	CCT	HGF	glycolysis_score	0.0	150	512	1392	1.5519990689405385	1.2763922897892992	1.2159263898379824	500	1.002162570599843	0.022415085978889283	9.536604920430108	0.001996007984031936
C2	CCT	caf_score	MET	2.1540332848177854	827	748	1730	0.4455840627000128	0.20393057050306537	2.1849792387714375	500	0.9982075485723825	0.06750878961121005	17.579513675682726	0.001996007984031936
C2	CCT	caf_score	MYC	2.1540332848177854	827	748	1730	1.7643046554189286	1.1919908010023508	1.480132777816168	500	0.9998388727189578	0.033653381375868964	14.271787424059657	0.001996007984031936
C2	CCT	caf_score	glycolysis_score	2.1540332848177854	827	748	1730	0.7405206410902669	0.4865467630153384	1.5219927402269493	500	1.0003921670643618	0.04042426422849041	12.903155644697456	0.001996007984031936
C2	CCT	HGF	MET	0.0	232	856	2217	0.6096732752456012	0.2900087039374429	2.1022585424784785	500	1.0009492327179117	0.0653460035427304	16.85350671889842	0.001996007984031936
C2	CCT	HGF	MYC	0.0	232	856	2217	2.2078534455929635	1.4046937630178042	1.5717685261516885	500	0.9986894422032238	0.032014230412111634	17.90076089824284	0.001996007984031936
C2	CCT	HGF	glycolysis_score	0.0	232	856	2217	0.9112190548461382	0.5744618272608955	1.5862134115872286	500	1.001613227315988	0.03209336859539592	18.215606832718297	0.001996007984031936
C3	CCT	caf_score	MET	0.8502993454155388	855	855	1707	0.8211133765474463	0.2772571063592872	2.961559353084339	500	0.9963686660702586	0.04561579748190322	43.08136206088942	0.001996007984031936
C3	CCT	caf_score	MYC	0.8502993454155388	855	855	1707	2.2300731391895807	1.2877633070568264	1.73174148305747	500	0.9999501216035126	0.026780604013172404	27.32542406788196	0.001996007984031936
C3	CCT	caf_score	glycolysis_score	0.8502993454155388	855	855	1707	0.8837469244823981	0.496401142238986	1.7803079994866922	500	0.9999598011013608	0.028110991794391055	27.759539901435744	0.001996007984031936
