sample_id	tissue	x	y	pearson_r	n_spots
C1	CCT	HGF	MET	0.09164003719065042	2054
C1	CCT	HGF	tumor_score	0.08369760075590124	2054
C1	CCT	HGF	glycolysis_score	0.10659459448367453	2054
C1	CCT	caf_score	MET	0.31363931250764776	2054
C1	CCT	caf_score	MYC	0.2737066161568087	2054
C1	CCT	caf_score	glycolysis_score	0.3649137345273402	2054
C1	CCT	MET	MYC	0.7716639534206522	2054
C1	CCT	MET	glycolysis_score	0.8141151849362362	2054
C1	CCT	MYC	glycolysis_score	0.8036721649855452	2054
C1	CCT	tumor_score	glycolysis_score	0.9127826753709448	2054
C2	CCT	HGF	MET	0.14519626086970083	3305
C2	CCT	HGF	tumor_score	0.12061214821833928	3305
C2	CCT	HGF	glycolysis_score	0.1455864579507849	3305
C2	CCT	caf_score	MET	0.4268824313480071	3305
C2	CCT	caf_score	MYC	0.5563857306766133	3305
C2	CCT	caf_score	glycolysis_score	0.5497993994708019	3305
C2	CCT	MET	MYC	0.7559850611483434	3305
C2	CCT	MET	glycolysis_score	0.7968382837705804	3305
C2	CCT	MYC	glycolysis_score	0.903688153120375	3305
C2	CCT	tumor_score	glycolysis_score	0.9345428090885057	3305
C3	CCT	HGF	MET	0.15584021015194993	3417
C3	CCT	HGF	tumor_score	0.13112551592724878	3417
C3	CCT	HGF	glycolysis_score	0.1683426706683895	3417
C3	CCT	caf_score	MET	0.5996032347119242	3417
C3	CCT	caf_score	MYC	0.6735722932003452	3417
C3	CCT	caf_score	glycolysis_score	0.690340848570932	3417
C3	CCT	MET	MYC	0.7907801827025903	3417
C3	CCT	MET	glycolysis_score	0.830566774122125	3417
C3	CCT	MYC	glycolysis_score	0.8811861945570749	3417
C3	CCT	tumor_score	glycolysis_score	0.9035272107059488	3417
C4	CCT	HGF	MET	-0.009585795063509914	4016
C4	CCT	HGF	tumor_score	-0.014738914148876181	4016
C4	CCT	HGF	glycolysis_score	0.01932258360196791	4016
C4	CCT	caf_score	MET	0.229417426129918	4016
C4	CCT	caf_score	MYC	0.15235604154547194	4016
C4	CCT	caf_score	glycolysis_score	0.43737383661192347	4016
C4	CCT	MET	MYC	0.2055769555826165	4016
C4	CCT	MET	glycolysis_score	0.590327147943335	4016
C4	CCT	MYC	glycolysis_score	0.2540552306127162	4016
C4	CCT	tumor_score	glycolysis_score	0.6633165404141668	4016
L1	LCT	HGF	MET	0.016949495959959718	4672
L1	LCT	HGF	tumor_score	-0.10988387417411342	4672
L1	LCT	HGF	glycolysis_score	-0.06859733418257753	4672
L1	LCT	caf_score	MET	0.32837731148379634	4672
L1	LCT	caf_score	MYC	0.342546127213807	4672
L1	LCT	caf_score	glycolysis_score	0.4078269039256256	4672
L1	LCT	MET	MYC	0.4975588672304254	4672
L1	LCT	MET	glycolysis_score	0.5519267077760838	4672
L1	LCT	MYC	glycolysis_score	0.7919114695664113	4672
L1	LCT	tumor_score	glycolysis_score	0.8458539972455056	4672
L2	LCT	HGF	MET	0.010969579960870173	4796
L2	LCT	HGF	tumor_score	-0.032826991151183905	4796
L2	LCT	HGF	glycolysis_score	-0.010193437656015212	4796
L2	LCT	caf_score	MET	0.24406218246370456	4796
L2	LCT	caf_score	MYC	0.37910574348601456	4796
L2	LCT	caf_score	glycolysis_score	0.50091745235952	4796
L2	LCT	MET	MYC	0.19886290418611827	4796
L2	LCT	MET	glycolysis_score	0.25319596634253055	4796
L2	LCT	MYC	glycolysis_score	0.49718474873679075	4796
L2	LCT	tumor_score	glycolysis_score	0.6004259827699958	4796
