metric	n_lm	n_primary	n_adjacent	mean_lm	mean_primary	mean_adjacent	lm_minus_primary	lm_over_primary	mann_whitney_p_lm_vs_primary	rank_delta_lm_vs_primary
caf_proxy__score_spp1_cxcl12_axis_desoverlap_2026	17	16	6	0.9932903875349095	0.7298142791503558	0.49574530061048766	0.2634761083845537	1.361018023230911	0.030671055227478483	0.4411764705882353
caf_proxy__score_spp1_cxcl12_caf_myeloid_axis	17	16	6	1.0423142414047846	0.8020065401699054	0.5075931550034976	0.2403077012348792	1.2996330942438075	0.021144063395173163	0.47058823529411775
fraction_caf_proxy	17	16	6	0.03437931955105145	0.06530024166366917	0.04144667894441128	-0.030920922112617717	0.5264807399660656	0.1302999466445942	-0.3088235294117647
fraction_myeloid_proxy	17	16	6	0.27419704535426226	0.26443868632806355	0.2605173297998549	0.009758359026198704	1.0369021611841334	0.6919272566818986	-0.08088235294117652
fraction_tcell_proxy	17	16	6	0.29474869607672566	0.2646145815087033	0.24026837802127668	0.03013411456802234	1.1138792669557827	0.9712648902451089	-0.007352941176470562
fraction_tumor_epithelial_proxy	17	16	6	0.3742547140204856	0.29406470940162105	0.308961864889514	0.08019000461886455	1.2726950975587636	0.9139435572143155	-0.022058823529411797
myeloid_proxy__score_hla_drb5_macrophage_axis	17	16	6	1.4809577045925066	0.8908925803450775	0.8730041795146343	0.5900651242474292	1.6623302710848415	5.4729481343773756e-05	0.8235294117647058
myeloid_proxy__score_hla_drb5_macrophage_axis_desoverlap_2026	17	16	6	1.4823384939613058	1.0032589953949624	1.0182707164070572	0.47907949856634335	1.4775232524855055	0.0017249610785334824	0.6397058823529411
myeloid_proxy__score_spp1_cxcl12_axis_desoverlap_2026	17	16	6	0.5634412945816333	0.30553482785114716	0.22906037444322158	0.2579064667304861	1.8441147889566782	0.00013436234433017447	0.7794117647058822
score_caf_core	17	16	6	0.07657699526969142	0.09743474269733551	0.041571371804000425	-0.020857747427644097	0.7859311078345519	0.4712552621202195	-0.1470588235294118
score_caf_core_desoverlap_2026	17	16	6	0.08002031910085938	0.10259073266247182	0.043599947086311146	-0.022570413561612435	0.7799955904801837	0.42807969742346375	-0.16176470588235292
score_caf_proxy	17	16	6	0.08002031910085938	0.10259073266247182	0.043599947086311146	-0.022570413561612435	0.7799955904801837	0.42807969742346375	-0.16176470588235292
score_crlm_metabolic_vulnerabilities_2026	17	16	6	0.27137052833229247	0.2899456243297007	0.19154473969250937	-0.018575095997408253	0.9359359326758238	0.42807969742346375	-0.16176470588235292
score_glut1_invasive_margin_axis	17	16	6	0.17655760363369555	0.11585717419601411	0.091971181006398	0.06070042943768143	1.5239246499745005	0.09751790476545086	0.33823529411764697
score_hla_drb5_macrophage_axis	17	16	6	0.8426066003550482	0.6525689959699523	0.6070519816079123	0.19003760438509587	1.2912145773990253	0.06104916340924271	0.38235294117647056
score_hla_drb5_macrophage_axis_desoverlap_2026	17	16	6	0.7584563129065093	0.6000195052362319	0.6340124390356686	0.15843680767027735	1.2640527620979582	0.16006457529724027	0.28676470588235303
score_mcam_caf	17	16	6	0.1027146176177499	0.13354309468319855	0.06295502814078412	-0.030828477065448653	0.7691495981983764	0.44937340556899663	-0.15441176470588236
score_myc_glycolysis_core	17	16	6	0.6898078828686528	0.5563286801644881	0.3477108539418754	0.1334792027041647	1.2399286742950215	0.023245215028520505	0.46323529411764697
score_myc_glycolysis_desoverlap_2026	17	16	6	0.5687010273417868	0.4731625471245721	0.28372509995269285	0.09553848021721473	1.201914713659832	0.08379986342293044	0.3529411764705883
score_myeloid_proxy	17	16	6	0.4033090871877912	0.20996632416655525	0.1805803402128763	0.19334276302123593	1.9208274888303862	0.002199647061113197	0.625
score_spp1_cxcl12_axis_desoverlap_2026	17	16	6	0.3934916288819463	0.3452944566879217	0.217396933061865	0.048197172194024585	1.1395828147846154	0.3678288529885996	0.18382352941176472
score_spp1_cxcl12_caf_myeloid_axis	17	16	6	0.5819175403375032	0.4706225327211593	0.3094694773409097	0.11129500761634392	1.2364846557023768	0.027996430775570236	0.44852941176470584
score_tcell_proxy	17	16	6	0.2178737528483121	0.15295325928133252	0.14393724267496177	0.06492049356697957	1.42444661769233	0.7457887630994249	0.06617647058823528
score_tumor_epithelial_proxy	17	16	6	0.7104895117214559	0.5289351225404682	0.4059962363977645	0.18155438918098776	1.3432451002856163	0.4712552621202195	0.1470588235294117
tcell_proxy__score_glut1_invasive_margin_axis	17	16	6	0.2618379062394166	0.22407379004417904	0.2285234949374183	0.03776411619523756	1.168534285905513	0.44937340556899663	0.15441176470588225
tcell_proxy__score_tcell_proxy	17	16	6	0.5560804045789292	0.5243280849718176	0.501527184160228	0.03175231960711156	1.0605581133591542	1.0	0.0
tumor_epithelial_proxy__score_glut1_invasive_margin_axis	17	16	6	0.16635923386114837	0.1532190130880602	0.03304272004214372	0.013140220773088157	1.085761032578483	0.6140458617227624	0.10294117647058831
tumor_epithelial_proxy__score_myc_glycolysis_core	17	16	6	0.8875604010309491	0.8756803347122551	0.4498643311932203	0.011880066318693983	1.0135666702194446	0.9139435572143155	0.022058823529411686
tumor_epithelial_proxy__score_myc_glycolysis_desoverlap_2026	17	16	6	0.758047783894746	0.7842153103544414	0.3752907001286015	-0.026167526459695334	0.9666322167978735	0.6919272566818986	-0.08088235294117652
