dataset	sample	effect_id	block_size	high_source_spots	neighbor_spots	background_spots	neighbor_mean	background_mean	observed_delta	observed_ratio	block_null_delta_mean	block_null_ratio_mean	block_empirical_p_delta_ge_observed	survives_block_delta_p_0_05	source_variant	target_family	target_variant
GSE217414	19G02977	hla_drb5_original_to_pyruvate_mito_entry	12	453	1157	707	0.1305977134832559	0.08958335771701734	0.041014355766238575	1.4578345444005103	0.02501426034531736	1.2432365216801404	0.019801980198019802	1	hla_drb5_original	pyruvate_mito_entry	pyruvate_mito_entry
GSE217414	19G02977	hla_drb5_original_to_pyruvate_mito_entry_minus_MPC1	12	453	1157	707	0.16056592501399342	0.10944924804281873	0.05111667697117468	1.4670354331824813	0.028699015497773397	1.2238391196429996	0.019801980198019802	1	hla_drb5_original	pyruvate_mito_entry	pyruvate_mito_entry_minus_MPC1
GSE217414	19G02977	hla_drb5_original_to_pyruvate_mito_entry_minus_MPC2	12	453	1157	707	0.10657800340558754	0.07624415144148879	0.030333851964098754	1.397851525534749	0.02077347537126604	1.2489573790430626	0.04950495049504951	1	hla_drb5_original	pyruvate_mito_entry	pyruvate_mito_entry_minus_MPC2
GSE217414	19G02977	hla_drb5_original_to_pyruvate_mito_entry_minus_PDHA1	12	453	1157	707	0.15472186903404178	0.11070092446270717	0.04402094457133461	1.3976565217046977	0.026944428763148315	1.2168989927037304	0.0297029702970297	1	hla_drb5_original	pyruvate_mito_entry	pyruvate_mito_entry_minus_PDHA1
GSE217414	19G02977	hla_drb5_original_to_pyruvate_mito_entry_minus_PDHB	12	453	1157	707	0.10052505647940096	0.06193910692105467	0.038585949558346294	1.6229658688415791	0.021110336310109647	1.2778033700429314	0.009900990099009901	1	hla_drb5_original	pyruvate_mito_entry	pyruvate_mito_entry_minus_PDHB
GSE217414	19G02977	hla_drb5_original_to_glutamate_transamination	12	453	1157	707	0.041255457820482594	0.024306702231644616	0.016948755588837978	1.6972873336462972	0.009317597973224196	1.290749740890967	0.0297029702970297	1	hla_drb5_original	glutamate_transamination	glutamate_transamination
GSE217414	19G02977	hla_drb5_original_to_glutamate_transamination_minus_GOT1	12	453	1157	707	0.046235637813222374	0.02619969706763414	0.020035940745588236	1.7647394049582232	0.011768721448304834	1.3457179123749072	0.04950495049504951	1	hla_drb5_original	glutamate_transamination	glutamate_transamination_minus_GOT1
GSE217414	19G02977	hla_drb5_original_to_glutamate_transamination_minus_GOT2	12	453	1157	707	0.04052731566865694	0.025546092936978838	0.014981222731678099	1.5864389035394242	0.006677404129776072	1.2028745719346565	0.04950495049504951	1	hla_drb5_original	glutamate_transamination	glutamate_transamination_minus_GOT2
GSE217414	19G02977	hla_drb5_original_to_glutamate_transamination_minus_GLUD1	12	453	1157	707	0.0395627657213382	0.02124213424629724	0.01832063147504096	1.862466608233326	0.009446140283162157	1.3283938000616848	0.019801980198019802	1	hla_drb5_original	glutamate_transamination	glutamate_transamination_minus_GLUD1
GSE217414	19G02977	hla_drb5_original_to_glutamate_transamination_minus_GLS	12	453	1157	707	0.03869611207871286	0.02423888467566824	0.014457227403044622	1.5964477159940138	0.007880336708204854	1.2530471508256904	0.06930693069306931	0	hla_drb5_original	glutamate_transamination	glutamate_transamination_minus_GLS
