dataset	sample	effect_id	block_size	high_source_spots	neighbor_spots	background_spots	neighbor_mean	background_mean	observed_delta	observed_ratio	block_null_delta_mean	block_null_ratio_mean	block_empirical_p_delta_ge_observed	survives_block_delta_p_0_05	target
GSE217414	19G02977	hla_drb5_original_to_pyruvate_mito_entry	8	453	1157	707	0.1305977134832559	0.08958335771701734	0.041014355766238575	1.4578345444005103	0.028347242178502322	1.2867309660851296	0.014925373134328358	1	pyruvate_mito_entry
GSE217414	19G02977	hla_drb5_original_to_pyruvate_mito_entry	12	453	1157	707	0.1305977134832559	0.08958335771701734	0.041014355766238575	1.4578345444005103	0.02429977468888189	1.2364672884933277	0.014925373134328358	1	pyruvate_mito_entry
GSE217414	19G02977	hla_drb5_original_to_pyruvate_mito_entry	16	453	1157	707	0.1305977134832559	0.08958335771701734	0.041014355766238575	1.4578345444005103	0.01692819315609707	1.1574606195771369	0.004975124378109453	1	pyruvate_mito_entry
GSE217414	19G02977	hla_drb5_original_to_pyruvate_mito_entry	20	453	1157	707	0.1305977134832559	0.08958335771701734	0.041014355766238575	1.4578345444005103	0.020238374959938424	1.1888865371533877	0.004975124378109453	1	pyruvate_mito_entry
GSE217414	19G02977	hla_drb5_original_to_glutamate_transamination	8	453	1157	707	0.041255457820482594	0.024306702231644616	0.016948755588837978	1.6972873336462972	0.011196615977519572	1.3715510165356264	0.029850746268656716	1	glutamate_transamination
GSE217414	19G02977	hla_drb5_original_to_glutamate_transamination	12	453	1157	707	0.041255457820482594	0.024306702231644616	0.016948755588837978	1.6972873336462972	0.009456741420771962	1.2953266921530184	0.014925373134328358	1	glutamate_transamination
GSE217414	19G02977	hla_drb5_original_to_glutamate_transamination	16	453	1157	707	0.041255457820482594	0.024306702231644616	0.016948755588837978	1.6972873336462972	0.007009867931325611	1.210967052809668	0.009950248756218905	1	glutamate_transamination
GSE217414	19G02977	hla_drb5_original_to_glutamate_transamination	20	453	1157	707	0.041255457820482594	0.024306702231644616	0.016948755588837978	1.6972873336462972	0.007375414290679344	1.2213026072151691	0.004975124378109453	1	glutamate_transamination
GSE217414	19G02977	hla_drb5_original_to_lactate_import_anabolic	8	453	1157	707	0.07505046638366558	0.052778303641403436	0.022272162742262146	1.421994668369563	0.01706370689122499	1.3021511166308175	0.05472636815920398	0	lactate_import_anabolic
GSE217414	19G02977	hla_drb5_original_to_lactate_import_anabolic	12	453	1157	707	0.07505046638366558	0.052778303641403436	0.022272162742262146	1.421994668369563	0.013839108005858636	1.231907549335078	0.009950248756218905	1	lactate_import_anabolic
