effect_id	block_size	n_samples	positive_delta_samples	positive_ratio_samples	block_delta_p_le_0_05	mean_ratio	mean_delta	mean_block_p
hla_drb5_original_to_glutamate_transamination	8	6	6	6	2	1.7644547150491068	0.07445835135496438	0.09369817578772803
hla_drb5_original_to_glutamate_transamination	12	6	6	6	5	1.7644547150491068	0.07445835135496438	0.028192371475953566
hla_drb5_original_to_glutamate_transamination	16	6	6	6	4	1.7644547150491068	0.07445835135496438	0.0439469320066335
hla_drb5_original_to_glutamate_transamination	20	6	6	6	5	1.7644547150491068	0.07445835135496438	0.017412935323383085
hla_drb5_original_to_lactate_export_glycolytic	8	6	6	6	3	1.375265260290852	0.09977063963104942	0.2131011608623549
hla_drb5_original_to_lactate_export_glycolytic	12	6	6	6	4	1.375265260290852	0.09977063963104942	0.11276948590381426
hla_drb5_original_to_lactate_export_glycolytic	16	6	6	6	4	1.375265260290852	0.09977063963104942	0.0572139303482587
hla_drb5_original_to_lactate_export_glycolytic	20	6	6	6	4	1.375265260290852	0.09977063963104942	0.1144278606965174
hla_drb5_original_to_lactate_import_anabolic	8	6	6	6	2	1.563638342831325	0.09855968614118636	0.1791044776119403
hla_drb5_original_to_lactate_import_anabolic	12	6	6	6	4	1.563638342831325	0.09855968614118636	0.03565505804311774
hla_drb5_original_to_lactate_import_anabolic	16	6	6	6	3	1.563638342831325	0.09855968614118636	0.09535655058043117
hla_drb5_original_to_lactate_import_anabolic	20	6	6	6	5	1.563638342831325	0.09855968614118636	0.01990049751243781
hla_drb5_original_to_pyruvate_mito_entry	8	6	6	6	4	1.570862446831506	0.12962947222874535	0.13349917081260365
hla_drb5_original_to_pyruvate_mito_entry	12	6	6	6	5	1.570862446831506	0.12962947222874535	0.03482587064676617
hla_drb5_original_to_pyruvate_mito_entry	16	6	6	6	4	1.570862446831506	0.12962947222874535	0.10199004975124377
hla_drb5_original_to_pyruvate_mito_entry	20	6	6	6	6	1.570862446831506	0.12962947222874535	0.008291873963515753
