dataset	sample	effect_id	block_size	high_source_spots	neighbor_spots	background_spots	neighbor_mean	background_mean	observed_delta	observed_ratio	block_null_delta_mean	block_null_ratio_mean	block_empirical_p_delta_ge_observed	survives_block_delta_p_0_05	source_variant	target
GSE217414	19G02977	residual_hla_drb5_original_to_pyruvate_mito_entry	12	580	1201	536	0.0008655878583630433	-0.007027718280299649	0.007893306138662692	-0.12316769452604413	0.0014515367880507165	-0.6585678430132098	0.13861386138613863	0	hla_drb5_original	pyruvate_mito_entry
GSE217414	19G02977	residual_hla_drb5_original_to_glutamate_transamination	12	580	1201	536	-0.0020036984706809486	-0.005702561360918955	0.003698862890238007	0.35136815614344513	-9.08430961285644e-05	-0.231727774714921	0.12871287128712872	0	hla_drb5_original	glutamate_transamination
GSE217414	19G02977	residual_hla_drb5_no_ptprc_to_pyruvate_mito_entry	12	580	1174	563	-0.0005773992116385244	-0.004034480558746081	0.003457081347107556	0.14311612194705445	0.0005815608858680037	-0.03386808061827566	0.33663366336633666	0	hla_drb5_no_ptprc	pyruvate_mito_entry
GSE217414	19G02977	residual_hla_drb5_no_ptprc_to_glutamate_transamination	12	580	1174	563	-0.0022540018816316373	-0.005384984861768792	0.003130982980137155	0.41857162823876	-0.0012403197981391127	-1.5048839476038571	0.15841584158415842	0	hla_drb5_no_ptprc	glutamate_transamination
GSE217414	19G0619	residual_hla_drb5_original_to_pyruvate_mito_entry	12	845	1784	750	0.0023200530841982216	0.009679209539328467	-0.007359156455130245	0.2396944786422285	-0.005936138132787472	0.034577610465064045	0.594059405940594	0	hla_drb5_original	pyruvate_mito_entry
GSE217414	19G0619	residual_hla_drb5_original_to_glutamate_transamination	12	845	1784	750	-0.0005276950685574979	0.0007284861747674569	-0.0012561812433249547	-0.7243721114212575	0.0022895160383922387	-0.08763102362387086	0.7722772277227723	0	hla_drb5_original	glutamate_transamination
GSE217414	19G0619	residual_hla_drb5_no_ptprc_to_pyruvate_mito_entry	12	845	1770	764	0.002525696119476872	0.008532803275150366	-0.006007107155673494	0.29599840029505003	-0.007010101943059185	0.22752235739665835	0.3564356435643564	0	hla_drb5_no_ptprc	pyruvate_mito_entry
GSE217414	19G0619	residual_hla_drb5_no_ptprc_to_glutamate_transamination	12	845	1770	764	-0.00019367727069763736	-0.000940938267710093	0.0007472609970124557	0.20583419480746437	0.0021207340199252355	-1.9004657294948708	0.6237623762376238	0	hla_drb5_no_ptprc	glutamate_transamination
GSE217414	19G0635	residual_hla_drb5_original_to_pyruvate_mito_entry	12	523	1097	471	-4.0067065792476164e-05	-0.006318197834599347	0.006278130768806871	0.0063415339059285595	-0.008090574158978991	-0.8857966597702983	0.1188118811881188	0	hla_drb5_original	pyruvate_mito_entry
GSE217414	19G0635	residual_hla_drb5_original_to_glutamate_transamination	12	523	1097	471	0.0011420673066299103	-0.007504437473017564	0.008646504779647474	-0.15218559828584735	-0.0002602805135012978	-0.41017326280938066	0.25742574257425743	0	hla_drb5_original	glutamate_transamination
