pmid	title	journal	pub_date	doi	url	queries	tags	abstract
41926877	Path forward: Cryoablation for colorectal liver metastases.	European journal of radiology	2026-Jun	10.1016/j.ejrad.2026.112817	https://pubmed.ncbi.nlm.nih.gov/41926877/	macrophage_immune_crlm	immune_myeloid	Colorectal liver metastases (CRLM) are a leading cause of mortality in patients with colorectal cancer. While surgical resection is the standard curative option, most patients are ineligible. Consequently, cryoablation (CA) has emerged as a potential alternative. This review aims to summarise the technical characteristics, clinical outcomes, immunomodulatory effects, and current combination strategies of CA for CRLM, and to highlight future research directions. This narrative review was informed by a structured literature search in PubMed and Embase (January 2000 - October 2025). Studies reporting clinical outcomes, mechanistic data, or both for CA in hepatic tumours, with a focus on CRLM, were included. Exclusions comprised studies with inseparable liver-specific data, non-hepatic sites, paediatric populations, and case series with fewer than 5 patients. CA offers a locoregional treatment option that can achieve meaningful local tumour control in carefully selected patients, particularly those with liver-dominant, small-volume disease and preserved liver function. Mechanistically, CA exerts dualistic immunomodulatory effects: while it induces immunogenic cell death, it simultaneously triggers immunosuppressive pathways, in particular neutrophil extracellular trap formation. Accumulating evidence suggests that combining CA with chemotherapy, targeted agents, immune checkpoint inhibitors, or surgical resection may enhance anti-tumour effects, although high-level evidence remains limited. Notably, quantitative margin assessment using advanced imaging and artificial intelligence is emerging as a promising tool for predicting local control and optimising outcomes. CA serves as a valuable therapeutic option for CRLM. Broader clinical application requires precision ablation with verified margins, technical optimisation for larger and perivascular lesions, biomarker-guided strategies supported by multi-omics, and robust multidisciplinary tumour board decision-making to standardise indications.
41274349	MARCO+ macrophages drive immunosuppressive remodeling and metastasis in chemotherapy-associated steatohepatitis.	Journal of hepatology	2026-May	10.1016/j.jhep.2025.11.008	https://pubmed.ncbi.nlm.nih.gov/41274349/	crlm_spatial_single_cell,macrophage_immune_crlm	single_cell,immune_myeloid	Chemotherapy-associated steatohepatitis (CASH) is a common side effect of treatment in patients with colorectal liver metastases (CRLM) that may affect patient outcomes. However, the underlying mechanisms of CASH remain poorly understood. CD45+ cells were isolated from liver tissues of 10 patients with CRLM who developed CASH following irinotecan-based chemotherapy. These cells were subjected to integrated single-cell transcriptomic and immune profiling analyses. Twenty-four pairs of human CASH samples, a clinical cohort, and irinotecan-induced CASH mouse models were used to confirm the mechanism. CASH is associated with high recurrence rates in patients with CRLM. Compared to patients without CASH, those with CASH exhibit an immune microenvironment enriched in MARCO+ macrophages with immunosuppressive features. The infiltration level of these macrophages correlates with recurrence rates in patients with colorectal cancer. This environment is further defined by the presence of exhausted CD8+ TOX+ T cells and highly stressed, activated DNAJB1+ NK cells. Using an irinotecan-induced CASH mouse model, we demonstrated that MARCO+ macrophages emerge specifically during the steatohepatitis phase, not the acute liver injury stage, and actively promote tumor growth and liver metastasis. Critically, genetic ablation of MARCO significantly inhibited CLRM and reduced the infiltration of CD8+ TOX+ T cells. This study uncovers a distinct immunoregulatory network in CASH, highlighting potential avenues to mitigate chemotherapy-associated hepatic injury and to develop novel immunotherapeutic strategies for patients with liver metastases. Chemotherapy-associated steatohepatitis (CASH) is a common side effect of treatment in patients with colorectal liver metastases (CRLM) that may affect patient outcomes. However, the mechanisms remain poorly understood. Herein, we identify a distinct immune microenvironment in the livers of patients with CASH that is centered on MARCO+ macrophages and accompanied by increased infiltration of CD8+ TOX+ T cells and DNAJB1+ NK cells. This regulatory network participates in disrupting liver antitumor immune responses and is associated with high recurrence rates in patients with CRLM. Our findings provide potential avenues for mitigating chemotherapy side effects and developing novel immunotherapeutic strategies for patients with liver metastases.
42028959	Proteomics-Informed Physiologically Based Pharmacokinetic Modeling for Aldehyde Oxidase Substrates in Colorectal Cancer Liver Metastasis.	Molecular pharmaceutics	2026-Apr-24	10.1021/acs.molpharmaceut.5c01898	https://pubmed.ncbi.nlm.nih.gov/42028959/	metabolism_proteomics_crlm	glycolysis_metabolism	Aldehyde oxidase (AO) metabolizes a broad range of compounds, including the oxidation of anticancer kinase inhibitors. Quantitative proteomics data reported in the literature for liver microsomes from colorectal liver metastases (CRLM) indicate decreased expression of various drug-metabolizing enzymes and transporters compared to the healthy liver, although information on AO remains limited. This study aimed to investigate, for the first time, potential alterations in AO abundance in CRLM patients and prospectively predict the pharmacokinetics of six AO/dual AO-CYP substrates in CRLM patients via physiologically-based pharmacokinetic (PBPK) models. Global proteomic analysis (using high-N approach) was performed on human liver cytosols (HLCs) and microsomes (HLMs) from 16 cancerous and matched histologically normal (adjacent to the tumor) liver tissues from CRLM patients. Commercial fractions from healthy donors were analyzed as controls. After the application of physiological scaling factors (cytosolic or microsomal protein per gram of liver), a strong rank correlation (rs = 0.86, n = 24) was observed in AO abundance between donor-matching HLC and HLM samples from CRLM patients. Interindividual variability was the highest within cancerous livers (CV = 95%; n = 9). The total hepatic AO abundance (nmol/g liver) was 4- and 6.9-fold lower in cancerous tissues compared to those in histologically normal and healthy tissues, respectively. Hepatic CYP3A4 and AO abundance correlated well (rs = 0.76, n = 22) across patient samples. A substrate-specific decrease in drug clearance was predicted for all six compounds in patients with CRLM with the proteomics-informed PBPK models. The implications of varying levels of tumor burden were explored in the developed PBPK models to enable prospective PK predictions for AO substrates in the CRLM cancer population.
42015288	Gut microbiota-driven pre-metastatic niche formation in colorectal cancer liver metastasis: mechanisms and translational significance.	Gut pathogens	2026-Apr-21	10.1186/s13099-026-00832-6	https://pubmed.ncbi.nlm.nih.gov/42015288/	macrophage_immune_crlm,metabolism_proteomics_crlm	glycolysis_metabolism,immune_myeloid,therapy_resistance	Liver metastasis of colorectal cancer (CRC) remains a major clinical challenge, closely linked to poor prognosis and limited therapeutic efficacy. Emerging evidence implicates the gut microbiota in orchestrating the formation and maturation of the hepatic pre-metastatic niche (PMN) through the gut-liver axis. Dysbiosis-induced disruption of intestinal barrier integrity facilitates microbial translocation, which triggers hepatic inflammation, immune suppression, metabolic reprogramming, and vascular remodelling, together creating a permissive soil for metastatic seeding. Among pathogenic taxa, Fusobacterium nucleatum has emerged as a key driver because it persistently colonises both primary tumours and hepatic metastases while modulating immunotolerance and chemoresistance. Therapeutically, narrow-spectrum antimicrobial approaches that target pro-metastatic taxa show promise for safely and selectively correcting microbiota-mediated PMN formation. In addition, faecal microbiota transplantation (FMT) combined with immune checkpoint inhibitors and anti-angiogenic therapy has yielded encouraging responses in refractory metastatic CRC by boosting anti-tumour immunity and restoring hepatic microvascular architecture. Future research should integrate multidimensional biomarker assessment with personalised, microbiota-based therapeutic frameworks to achieve effective and durable prevention of CRC liver metastasis.
41986125	[Effect and mechanism of taurocholic acid in promoting colorectal cancer liver metastasis by regulating neutrophil extracellular trap formation].	Zhonghua yi xue za zhi	2026-Apr-21	10.3760/cma.j.cn112137-20251027-02767	https://pubmed.ncbi.nlm.nih.gov/41986125/	metabolism_proteomics_crlm	glycolysis_metabolism	Objective: To investigate the effect and underlying mechanism by which taurocholic acid (TCA) promotes colorectal cancer liver metastasis (CRLM) through regulation of neutrophil extracellular trap (NET) formation. Methods: A total of 20 CRLM patients and 20 non-metastatic colorectal cancer (non-mCRC) patients admitted to Qilu Hospital of Shandong University from 2021 to 2022 were retrospectively included. The age of the CRLM patients was (57±12) years, including 11 males and 9 females; the age of the non-mCRC patients was (60±9) years, including 15 males and 5 females. Non-targeted metabolomics was employed to identify differential serum metabolites associated with liver metastasis, and the distinguish efficacy of TCA was evaluated by receiver operating characteristic (ROC) curve analysis. Neutrophils from healthy donors were isolated by density gradient centrifugation. The differentiated HL-60 (dHL-60) model was established by inducing the acute promyelocytic leukemia cell line HL-60 to differentiate into neutrophil-like cells with all-trans retinoic acid (ATRA). The expression characteristics of carcinoembryonic antigen-related cell adhesion molecule 8 (CD66b) and integrin subunit alpha M (CD11b) were detected by flow cytometry. The cell morphology and the proportion of live cells were assessed respectively by wright-giemsa staining and trypan blue staining. In neutrophils and dHL-60 models, cells were divided into a negative control group, a phorbol 12-myristate 13-acetate (PMA, 0.5 μmol/L) positive control group and different concentrations of TCA treatment groups (0.01, 0.1, 1, 10 and 100 μmol/L). The formation of the NET reticular structure after stimulation was observed by Sytox Green staining, and the content of double-stranded deoxyribonucleic acid (ds-DNA) released after stimulation was quantitatively evaluated by PicoGreen. Western blotting was used to detect the expression levels of p44/42 mitogen-activated protein kinase (p44/42 MAPK) and its phosphorylated form (p-p44/42 MAPK), mammalian target of rapamycin (mTOR) and its phosphorylated form (p-mTOR), and peptidylarginine deiminase 4 (PAD4) in dHL-60 following stimulation. NET induced by TCA were divided into a control group, a low-dose NET group (0.1 μg/ml) and a high-dose NET group (0.3 μg/ml) according to dose, and co-cultured respectively with colorectal cancer (CRC) cell lines DLD1 and HCT116. Transwell assay was used to analyze the effect of TCA-induced NET on the migration behavior of CRC cells. The expression levels of epithelial cadherin (E-cadherin), neural cadherin (N-cadherin), and vascular endothelial growth factor A (VEGFA) were detected by Western blotting in CRC cells after co-culture. Comparisons of measurement data between groups were performed using the independent samples t-test, Mann-Whitney U test, and one-way ANOVA. Comparisons of enumeration data between groups were performed using the χ2 test or Fisher's exact test. Results: The relative abundance of 64 metabolites, including TCA [M (Q1, Q3)] [4.445 (1.669, 9.579) vs 0.956 (0.649, 1.372), P<0.01], in the serum metabolic profile of CRLM patients was higher than that of non-mCRC patients (all P<0.05), while the relative abundance of 27 metabolites was lower than that of non-mCRC patients (all P<0.05). In the ROC analysis distinguishing the 2 sample groups, TCA achieved an area under the curve (AUC) of 0.873 (95%CI: 0.741-0.984). In cell identification, both peripheral blood neutrophils and dHL-60 models displayed typical neutrophil morphology: nuclear lobulation and cytoplasm rich in fine neutral granules; the positive rates of CD66b/CD11b were>90%, and the cell viability was>90%. In vitro stimulation of peripheral blood neutrophils for 1 h or 3 h, when the TCA stimulation concentration was greater than 0.01 μmol/L, the formation of NET was more than that of the negative control group (all P<0.05). After intervention of dHL-60 for 4 h and 6 h, when the TCA stimulation concentration was greater than 0.1 μmol/L, the NET reticular structure was more than that of the negative control (all P<0.05). When the TCA stimulation concentration was greater than 10 μmol/L, the ds-DNA release was higher than that of the negative control group (P<0.001). The expression levels of p44/42 MAPK, p-p44/42 MAPK, mTOR, p-mTOR, and PAD4 in the TCA treatment group were higher than those in the negative control group (P<0.001). In co-culture experiments of NET and CRC cells, after high-dose NET treatment of DLD1 cells, the expression of E-cadherin was lower than that of the control group (P<0.001). After high and low-dose NET treatment of HCT116 cells, the expression of E-cadherin was lower than that of the control group (both P<0.001). In both CRC cell lines, after high and low-doses of NET intervention, the expression of N-cadherin and VEGFA was higher than that of the control group (all P<0.001), and their migration and invasion abilities were higher than those of the control group (all P<0.001). Conclusions: CRLM patients exhibit distinct serum metabolic profiles, among which high-abundance TCA can induce NET release and thereby promote CRC cell metastasis. This process is associated with the activation of the p44/42 MAPK/mTOR signaling pathways in neutrophils and the epithelial-mesenchymal transition in CRC cells.
42007878	A Self-Assembled Irinotecan Nanomedicine Abrogates Steatohepatitis-Induced Liver Metastasis and Potentiates Antitumor Efficacy against Colorectal Cancer.	ACS nano	2026-Apr-20	10.1021/acsnano.6c00855	https://pubmed.ncbi.nlm.nih.gov/42007878/	hgf_met_myc_glycolysis	glycolysis_metabolism	Irinotecan is a widely used chemotherapeutic agent for the treatment of advanced and metastatic colorectal cancer (CRC). However, its clinical application remains unsatisfactory due to its side effects and limited efficacy. Here, we first demonstrate that irinotecan promotes liver metastasis in CRC by inducing chemotherapy-related steatohepatitis, which is an understudied side effect of irinotecan. To abrogate the prometastatic effect of irinotecan, we employ indole-3-carbinol (I3C), an aryl hydrocarbon receptor (AHR) agonist, to develop a self-assembled nanomedicine (termed NICER). NICER abolishes liver metastasis driven by irinotecan-induced steatohepatitis through activating the AHR/CPT1A axis and promoting fatty acid oxidation of hepatocytes. Importantly, NICER also significantly potentiated the antitumor effect of irinotecan. It markedly enhances cellular uptake of irinotecan via caveolin-dependent endocytosis, enabling direct delivery to the endoplasmic reticulum (ER) to induce lethal ER stress. Meanwhile, I3C encapsulated in NICER inhibits glycolysis by activation of AHR. In subcutaneous and liver metastatic CRC models, NICER demonstrates potent antitumor efficacy, reducing the tumor burden by 74.6% and 96.2%, respectively, while also exhibiting good biosafety. In summary, this work synergistically abrogates the prometastatic adverse effect of irinotecan and enhances its antitumor efficacy, presenting a promising strategy to potentiate irinotecan-based chemotherapies.
41984196	Natural flavonoid isoorientin and its anticancer mechanisms: a systematic review.	Naunyn-Schmiedeberg's archives of pharmacology	2026-Apr-15	10.1007/s00210-026-05335-4	https://pubmed.ncbi.nlm.nih.gov/41984196/	hgf_met_myc_glycolysis	hgf_met_myc	Cancer remains a major global health burden, with increasing incidence and limited access to effective and safe therapies. Isoorientin (ISO), a naturally occurring C-glucosyl flavone found in various medicinal plants, has garnered attention for its diverse pharmacological properties, particularly anticancer effects. This systematic review aims to critically evaluate and synthesize available in vitro and in vivo evidence on the anticancer potential of isoorientin across various cancer types. Following PRISMA guidelines, a systematic search was conducted in databases including PubMed, PMC, Scopus, ScienceDirect, Google Scholar, and Cochrane up to November 2025. Studies investigating the effects of isoorientin on apoptosis, cell cycle arrest, proliferation, migration, and invasion in cancer models were included. A total of 12 studies met the inclusion criteria. Isoorientin exhibited significant anticancer activity in multiple cancer types, including lung, liver, gastric, colorectal, pancreatic, and oral cancers. It induced apoptosis in a dose-dependent and time-dependent manner and caused G0/G1 or G2/M phase cell cycle arrest. Mechanistically, isoorientin modulated several signaling pathways such as MAPK, PI3K/Akt, AMPK, NF-κB, and Wnt/β-catenin. It also downregulated anti-apoptotic proteins (Bcl-2, Mcl-1) and upregulated pro-apoptotic markers (Bax, cytochrome c, caspases). Two xenograft studies confirmed its in vivo tumor-suppressive effects. Isoorientin demonstrates robust preclinical anticancer effects by targeting key pathways involved in apoptosis, proliferation, and metastasis. Further translational research, including clinical trials, is warranted to validate its therapeutic potential and safety profile in humans.
41785604	Norepinephrine promotes colorectal cancer liver metastasis via mechanisms dependent on Kupffer cells.	International immunopharmacology	2026-Apr-15	10.1016/j.intimp.2026.116449	https://pubmed.ncbi.nlm.nih.gov/41785604/	crlm_spatial_single_cell,macrophage_immune_crlm	single_cell,immune_myeloid	The mechanisms underlying colorectal cancer liver metastasis (CRLM) remain incompletely understood. Increasing evidence suggests that stress-associated catecholamines may influence tumor progression. However, how norepinephrine (NE) influences the hepatic immune microenvironment during CRLM progression remains poorly characterized. In this study, we investigated the effects of NE on liver-resident macrophages during CRLM progression by integrating patient-based clinical analyses, single-cell transcriptomic profiling, and mechanistic in vivo and in vitro experiments. Clinically, patients with CRLM exhibited higher levels of psychological distress and increased circulating NE and CXCL12 compared with patients without liver metastasis. Anxiety scores were positively correlated with circulating NE and CXCL12. Single-cell RNA sequencing of CRLM lesions revealed macrophages as the predominant immune cell population with enriched expression of CXCL12, IL-10, and ADRB2, which encodes the β2-adrenergic receptor (β2-AR). In the hepatic context, this population was predominantly composed of Kupffer cells (KCs). In murine CRLM models, exogenous NE administration increased hepatic metastatic burden and KC accumulation, whereas selective KC depletion abrogated the pro-metastatic effects of NE. Mechanistically, NE promoted M2-like polarization of KCs in vitro through β2-AR-dependent activation of the PI3K/Akt pathway and altered their secretory profile. Consistently, NE-conditioned KCs enhanced colorectal cancer cell migration via CXCL12, an effect that was attenuated by pharmacological inhibition of β2-AR signaling or blockade of the CXCL12-CXCR4 axis. Overall, this study identifies a norepinephrine-driven neuroimmune mechanism in which β2-AR signaling reprograms KCs toward a pro-metastatic phenotype, thereby facilitating CRLM.
41965925	Potential role of leptin in colorectal cancer liver metastasis involving lipid metabolic reprogramming and immunosuppressive macrophage polarization.	Scientific reports	2026-Apr-11	10.1038/s41598-026-48506-2	https://pubmed.ncbi.nlm.nih.gov/41965925/	macrophage_immune_crlm,metabolism_proteomics_crlm	glycolysis_metabolism,immune_myeloid	
41962521	Effect of TU-100 on Colorectal Liver Metastasis in Mouse Model of MASH.	The Journal of surgical research	2026-Apr-09	10.1016/j.jss.2026.03.073	https://pubmed.ncbi.nlm.nih.gov/41962521/	metabolism_proteomics_crlm	glycolysis_metabolism	The incidence of metabolic dysfunction-associated steatohepatitis (MASH) is rapidly increasing, and colorectal liver metastasis (CLM) has been reported to be enhanced in MASH. We previously reported that the herbal medicine Daikenchuto (TU-100) regulates the intestinal microbiome and MASH in a mouse model. This study was performed to examine the effect of TU-100 on CLM using a Western diet (WD)-fed mouse model. Six-week-old male C57BL/6J mice were used. Mice in the WD group were fed a WD, and TU-100 was administered to mice in the WD+TU-100 group. Splenic injection of MC38 colon cancer cells was performed at 16 wk, and mice were sacrificed 2 wk after splenic injection to assess steatosis, fibrosis, and hepatic mRNA expression. The degree of steatosis was significantly reduced in the WD+TU-100 group compared with the WD group (P < 0.05). The maximum tumor diameter was significantly smaller in the WD+TU-100 group than in the WD group (P < 0.05). Hepatic mRNA expression of serum amyloid A1 and tissue inhibitor of matrix metalloproteinases 1 was significantly suppressed in the WD+TU-100 group compared with the WD group (P < 0.05). TU-100 improved hepatic steatosis in an MASH mouse model and suppressed CLM. Suppression of hepatic serum amyloid A1 and tissue inhibitor of matrix metalloproteinases 1 expression may contribute to these effects.
41968026	tRF-Glu-TTC-013 promotes colorectal cancer liver metastasis through a CREB3L1-AMDHD1 metabolic axis.	Science bulletin	2026-Apr-06	10.1016/j.scib.2026.04.015	https://pubmed.ncbi.nlm.nih.gov/41968026/	metabolism_proteomics_crlm	glycolysis_metabolism	
41940986	Compartment-specific GLUT1 patterns in colorectal liver metastases: invasive-margin GLUT1 associates with outcome in solitary disease.	Cancer immunology, immunotherapy : CII	2026-Apr-06	10.1007/s00262-026-04378-z	https://pubmed.ncbi.nlm.nih.gov/41940986/	macrophage_immune_crlm,metabolism_proteomics_crlm	spatial,glycolysis_metabolism,immune_myeloid,therapy_resistance	Colorectal liver metastases (CRLM) are a major cause of cancer-related deaths. Glucose transporter 1 (GLUT1) is a key mediator of glycolytic metabolism in malignant and immune cells; however, the prognostic relevance of compartment-specific GLUT1 patterns in CRLM remains undefined. We hypothesized that spatial GLUT1 expression at the tumor-liver interface may reflect clinically relevant microenvironmental biology. We retrospectively analyzed data of 192 patients who underwent curative-intent resection for CRLM (75 solitary; 117 multiple). GLUT1 expression was assessed by immunohistochemistry in the tumor tissue (Tu) and infiltration margin (Im) and was correlated with overall survival using Cox regression. Double immunofluorescence for CD8 and GLUT1 was performed for qualitative visualization at the infiltration margin. In an exploratory subset (n = 5), flow cytometry and in vitro killing assays were conducted on GLUT1⁺ versus GLUT1⁻ CD8⁺ tumor-infiltrating lymphocytes (TILs). Tumoral GLUT1 correlated with Ki67 (Spearman's ρ = 0.31, p = 0.003) but was not independently associated with overall survival in the main cohort (multivariable HR 1.183, 95% CI 0.74-1.90; p = 0.485). In the main cohort, capsule presence remained strongly associated with improved survival (HR 0.35, 95% CI 0.21-0.58; p < 0.001). In contrast, high invasive-margin GLUT1 was independently associated with improved survival in the predefined solitary cohort (HR 0.379, 95% CI 0.18-0.81; p = 0.012). Double immunofluorescence demonstrated the qualitative co-localization of the GLUT1 signal with CD8⁺ cells at the infiltration margin. In exploratory assays (n = 5), flow cytometry suggested GLUT1 enrichment in CD8⁺ terminally differentiated effector memory T cells re-expressing CD45RA (TEMRA), and GLUT1⁺ TIL fractions showed higher in vitro tumor cell killing compared with GLUT1⁻ cells. GLUT1 shows compartment- and context-dependent associations in the CRLM. While tumor-core GLUT1 is linked to proliferative activity, invasive-margin GLUT1 is associated with favorable outcomes in solitary metastases. Immunofluorescence and functional data provide hypothesis-generating context and warrant validation with quantitative spatial immune profiling and independent cohorts.
41788023	A Novel Zebrafish Liver-Specific Metastasis Model Reveals c-Met as a Driver of Liver Tropism.	Liver international : official journal of the International Association for the Study of the Liver	2026-Apr	10.1111/liv.70579	https://pubmed.ncbi.nlm.nih.gov/41788023/	hgf_met_myc_glycolysis	hgf_met_myc	Intrahepatic metastasis negatively impacts the prognosis of several cancers, including hepatocellular and colorectal carcinoma. Zebrafish larval xenografts serve as a robust vertebrate platform that allows direct visualisation of tumour behaviour within a living organism. However, organ-specific metastasis models in zebrafish remain limited, and liver metastasis has not yet been demonstrated. This study aimed to establish a zebrafish larval intrahepatic metastasis model and to determine the role of c-Met activation in mediating liver tropism of cancer cells. An intravenous injection-based zebrafish model (zLiverMet) was developed using a liver-specific fluorescent reporter line to visualise tumour colonisation in vivo. Liver cancer cell lines with distinct c-Met expression and activation levels were injected into 2-day post-fertilisation larvae. The effects of c-Met overexpression and pharmacological inhibition on intrahepatic metastasis were analysed through confocal imaging and quantitative image measurements. The model's applicability was further tested using colorectal cancer (CRC) cell lines. Intravenous injection facilitated efficient intrahepatic colonisation, whereas yolk-sac injection failed to reproduce vascular dissemination. Liver cancer cell lines with high c-Met expression, SNU-449, Mahlavu and SK-HEP-1, exhibited strong liver tropism, while cell lines with no/low c-Met expression, HuH-7 and SNU-398, showed minimal hepatic metastasis. Overexpressing c-Met increased liver colonisation of HCC cells, and inhibiting c-Met activation with the c-Met inhibitor SU11274 reduced this effect. The zLiverMet model successfully mimics intrahepatic metastasis and highlights c-Met as a driver of liver tropism. This zebrafish-based model offers an 'organism-on-a-chip' platform that is rapid, imageable and scalable-bridging in vitro assays and in vivo models for mechanistic and therapeutic studies of liver metastasis.
41690034	Curcumol targets the ATG4B-PKM2-lactate signaling axis to reverse EMT and inhibit colorectal cancer liver metastasis.	Phytomedicine : international journal of phytotherapy and phytopharmacology	2026-Apr	10.1016/j.phymed.2026.157933	https://pubmed.ncbi.nlm.nih.gov/41690034/	metabolism_proteomics_crlm	glycolysis_metabolism	Distant metastasis of colorectal cancer (CRC) is strongly driven by metabolic reprogramming and epithelial-mesenchymal transition (EMT). Increasing evidence suggests that these two processes form a reinforcing positive feedback loop; however, the integrated regulatory mechanism and its potential for pharmacological intervention remain insufficiently understood. This study aimed to elucidate the mechanistic coupling between autophagy, metabolic reprogramming, and EMT, and to develop a targeted pharmacological strategy capable of disrupting this positive feedback loop. We systematically constructed and validated an autophagy-metabolism-phenotypic transformation regulatory axis centered on ATG4B and PKM2, and evaluated the therapeutic efficacy of Curcumol as a pathway-specific natural compound intervention. Biochemical assays, protein-protein interaction analyses, and functional experiments were performed to determine how ATG4B regulates PKM2 Tyr105 phosphorylation, nuclear translocation, and glycolytic activity. Curcumol was applied to assess its ability to activate ATG4B-dependent autophagy and inhibit PKM2 activation. Anti-tumor efficacy was validated using colorectal cancer organoids, orthotopic implantation, and liver metastasis mouse models. ATG4B was identified as a core autophagy enzyme that directly binds to and shields the PKM2 Tyr105 site, preventing FGFR1-mediated phosphorylation and nuclear translocation. This blockade suppressed the Warburg effect, reduced lactate production, and synergistically inhibited EMT progression. Curcumol activated ATG4B-dependent autophagy, inhibited PKM2 activation, and effectively disrupted the metabolism-EMT positive feedback loop. In multiple CRC models, Curcumol markedly suppressed tumor growth and metastasis, supporting its therapeutic potential. This study reveals the ATG4B-PKM2 axis as a critical regulatory node linking autophagy, metabolic reprogramming, and EMT. Targeting this axis with Curcumol provides a precise strategy to interrupt metabolism-phenotype coupling, offering a mechanistically grounded and translationally promising approach for inhibiting CRC progression and metastasis.
41655559	SPP1⁺ macrophage-FADS1⁺ tumor cell crosstalk via the PDGFB-PDGFRB axis drives liver metastasis in colorectal cancer.	Translational oncology	2026-Apr	10.1016/j.tranon.2026.102696	https://pubmed.ncbi.nlm.nih.gov/41655559/	crlm_spatial_single_cell,macrophage_immune_crlm,metabolism_proteomics_crlm	single_cell,glycolysis_metabolism,immune_myeloid,therapy_resistance	Liver metastasis is the predominant cause of mortality among individuals diagnosed with colorectal cancer (CRC). However, the mechanisms underlying the tumor-microenvironment interactions that promote this process remain poorly defined. Here, we developed an integrative multiomics framework to dissect the cellular and molecular determinants of colorectal cancer liver metastasis (CRLM). By analyzing 1,156 metastasis-associated genes, we identified three molecular subtypes with distinct prognostic and immunometabolic features: C1 with mixed phenotypes and favorable survival, C2 with metabolic activation and immune suppression, and C3 with immune activation and signaling dysregulation, which had the poorest outcomes. Mechanistically, we discovered that SPP1⁺ macrophages secrete PDGFB, which activates PDGFRB signaling in FADS1⁺ tumor cells to trigger epithelial-mesenchymal transition (EMT) and promote liver metastasis. This macrophage-tumor crosstalk was validated by single-cell transcriptomics, genetic perturbation, and coculture experiments. Collectively, our findings define a macrophage-derived PDGFB-PDGFRB axis that drives CRC liver metastasis and highlight a potential therapeutic target for overcoming metastatic progression and immune resistance.
