gene_symbol	caf_core	caf_core_desoverlap_2026	crlm_metabolic_vulnerabilities_2026	cxcl13_t_cells	glut1_invasive_margin_axis	hgf_met_axis	hla_drb5_macrophage_axis	hla_drb5_macrophage_axis_desoverlap_2026	macrophage_lipid_candidate	marco_cash_macrophage_axis	mcam_caf	myc_glycolysis_core	myc_glycolysis_desoverlap_2026	plasticity_emt	radioresistance_morf4l1	sema3c_nrp2_lmic_axis	spp1_cxcl12_axis_desoverlap_2026	spp1_cxcl12_caf_myeloid_axis	spp1_macrophage_fads1_pdgfb_axis	stromal_myeloid_risk_2026
ACTA2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
APOE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ARL4C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BHLHE40	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BRCA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CD14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CD1C	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CD3D	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD3E	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
CD68	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CD74	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CD8A	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CD8B	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
COL1A1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
COL1A2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CTNNB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
CX3CR1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CXCL10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CXCL12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
CXCL13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCR4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DNAJB1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EIF4B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENO1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
EPCAM	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FADS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FAP	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR3A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
FTCD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPD1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GZMB	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGF	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIF1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
HK2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
HLA-DRB5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
KLF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KLRD1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LDHA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LGALS9	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
LGR5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LPL	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MAPK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MAPK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MARCO	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MCAM	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MET	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIF	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
MKI67	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MORF4L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MYC	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
NDRG1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PDGFB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PDGFRA	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDGFRB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
