dataset	sample	effect_id	source	target	high_source_spots	neighbor_spots	background_spots	neighbor_mean	background_mean	observed_delta	observed_ratio	block_null_delta_mean	block_null_ratio_mean	block_empirical_p_delta_ge_observed	survives_block_delta_p_0_05
GSE217414	19G02977	cxcl12_fn1_cd44_to_lactate_import_anabolic	score_spp1_cxcl12_axis_desoverlap_2026	score_lactate_import_anabolic_proxy	627	829	861	0.055314833262780555	0.029027464015748072	0.026287369247032483	1.9056033704071074	0.03233862263606511	1.9176205336043524	0.9880239520958084	0
GSE217414	19G02977	hla_drb5_to_lactate_import_anabolic	score_hla_drb5_macrophage_axis_desoverlap_2026	score_lactate_import_anabolic_proxy	453	1157	707	0.07505046638366558	0.052778303641403436	0.022272162742262146	1.421994668369563	0.013288008844188926	1.2212111717073177	0.003992015968063872	1
GSE217414	19G02977	cxcl12_fn1_cd44_to_lactate_export_glycolytic	score_spp1_cxcl12_axis_desoverlap_2026	score_lactate_export_glycolytic_proxy	627	829	861	0.08511306925233018	0.038797550889794315	0.04631551836253587	2.1937742795697743	0.041599682620635556	1.801195306993642	0.15768463073852296	0
GSE217414	19G02977	hla_drb5_to_lactate_export_glycolytic	score_hla_drb5_macrophage_axis_desoverlap_2026	score_lactate_export_glycolytic_proxy	453	1157	707	0.10110605840803047	0.07311424609529248	0.027991812312737993	1.3828503172453592	0.01646586172941029	1.2024417103727338	0.00998003992015968	1
GSE217414	19G02977	lactate_import_anabolic_to_myc_glycolysis	score_lactate_import_anabolic_proxy	score_myc_glycolysis_desoverlap_2026	1066	1075	176	0.15558439325097015	0.09994650973991964	0.05563788351105051	1.5566766028731884	0.08148322648037813	1.8013668704245895	0.9920159680638723	0
GSE217414	19G02977	lactate_export_glycolytic_to_myc_glycolysis	score_lactate_export_glycolytic_proxy	score_myc_glycolysis_desoverlap_2026	1039	1065	213	0.08871669831997889	0.03946527438244898	0.04925142393752991	2.2479686181893883	0.10604978159991195	2.2098634214892314	1.0	0
GSE217414	19G02977	cxcl12_fn1_cd44_to_pyruvate_mito_entry	score_spp1_cxcl12_axis_desoverlap_2026	score_pyruvate_mito_entry_proxy	627	829	861	0.1002293468659707	0.05164873559762221	0.048580611268348485	1.9405963322475803	0.053460604016371455	1.821601129123428	0.8083832335329342	0
GSE217414	19G02977	hla_drb5_to_pyruvate_mito_entry	score_hla_drb5_macrophage_axis_desoverlap_2026	score_pyruvate_mito_entry_proxy	453	1157	707	0.1305977134832559	0.08958335771701734	0.041014355766238575	1.4578345444005103	0.024251410897768028	1.2352345766710846	0.003992015968063872	1
GSE217414	19G02977	cxcl12_fn1_cd44_to_glutamate_transamination	score_spp1_cxcl12_axis_desoverlap_2026	score_glutamate_transamination_proxy	627	829	861	0.03158350159803049	0.02036168649018898	0.011221815107841513	1.5511240492406462	0.012205504818190488	1.5078093586426569	0.624750499001996	0
GSE217414	19G02977	hla_drb5_to_glutamate_transamination	score_hla_drb5_macrophage_axis_desoverlap_2026	score_glutamate_transamination_proxy	453	1157	707	0.041255457820482594	0.024306702231644616	0.016948755588837978	1.6972873336462972	0.009247560732660866	1.2885547984668282	0.015968063872255488	1
GSE217414	19G0619	cxcl12_fn1_cd44_to_lactate_import_anabolic	score_spp1_cxcl12_axis_desoverlap_2026	score_lactate_import_anabolic_proxy	867	1232	1280	0.0839423048188161	0.04429633547438008	0.03964596934443601	1.8950169109895394	0.03684513059626777	1.6436972009829862	0.18762475049900199	0
GSE217414	19G0619	hla_drb5_to_lactate_import_anabolic	score_hla_drb5_macrophage_axis_desoverlap_2026	score_lactate_import_anabolic_proxy	1498	1674	207	0.08213438720216408	0.05333993057786424	0.028794456624299837	1.5398292857218185	0.021211224232682103	1.3375930608382276	0.09381237524950099	0
GSE217414	19G0619	cxcl12_fn1_cd44_to_lactate_export_glycolytic	score_spp1_cxcl12_axis_desoverlap_2026	score_lactate_export_glycolytic_proxy	867	1232	1280	0.06773181174812692	0.04250656718001335	0.025225244568113578	1.5934434663068846	0.020306183295460082	1.3990721059001545	0.05189620758483034	0
