effect_id	n_samples	positive_ratio_samples	positive_delta_samples	block_delta_p_le_0_05	mean_ratio	mean_delta	mean_block_p	status
cxcl12_fn1_cd44_to_glutamate_transamination	6	6	6	2	1.9662230827289562	0.08444319250322278	0.2677977378576181	positive_but_block_explained
cxcl12_fn1_cd44_to_lactate_export_glycolytic	6	6	6	3	1.8105901378236802	0.15862503555494475	0.05089820359281438	partial_lactate_proxy_adjacency
cxcl12_fn1_cd44_to_lactate_import_anabolic	6	6	6	2	1.8714144210653902	0.11982738661190816	0.3722554890219561	positive_but_block_explained
cxcl12_fn1_cd44_to_pyruvate_mito_entry	6	6	6	2	1.893026432619602	0.16292403653463972	0.22222222222222224	positive_but_block_explained
hla_drb5_to_glutamate_transamination	6	6	6	5	1.7644547150491068	0.07445835135496438	0.024617431803060547	strong_lactate_proxy_adjacency
hla_drb5_to_lactate_export_glycolytic	6	6	6	4	1.375265260290852	0.09977063963104942	0.13073852295409183	partial_lactate_proxy_adjacency
hla_drb5_to_lactate_import_anabolic	6	6	6	4	1.563638342831325	0.09855968614118636	0.03526280771789753	partial_lactate_proxy_adjacency
hla_drb5_to_pyruvate_mito_entry	6	6	6	5	1.570862446831506	0.12962947222874535	0.025615435795076514	strong_lactate_proxy_adjacency
lactate_export_glycolytic_to_myc_glycolysis	6	6	6	1	1.7061404521376557	0.2008781820228003	0.833666001330672	positive_but_block_explained
lactate_import_anabolic_to_myc_glycolysis	6	6	6	1	1.6299488420171164	0.2240265994054286	0.4644045242847638	positive_but_block_explained
