dataset	sample	effect_id	source	target	block_size	high_source_spots	neighbor_spots	background_spots	observed_neighbor_vs_background_ratio	block_null_permutations	block_null_ratio_mean	block_null_ratio_sd	block_z_score	block_empirical_p_ge_observed	survives_block_p_0_05
GSE217414	19G02977	caf_to_spp1_cxcl12_lite	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	12	602	643	1072	1.5529582781284714	500	1.6381841516750237	0.040070004564793614	-2.126924478102846	0.9840319361277445	0
GSE217414	19G02977	caf_to_hla_drb5_lite	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	12	602	643	1072	1.2272905936521448	500	1.0199535382421319	0.09034389466097693	2.294975838578386	0.015968063872255488	1
GSE217414	19G02977	spp1_cxcl12_lite_to_myc_glycolysis_lite	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	12	627	829	861	2.1432567941261578	500	1.8436217073860939	0.08113256146428734	3.693154527999911	0.001996007984031936	1
GSE217414	19G02977	hla_drb5_lite_to_myc_glycolysis_lite	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	12	453	1157	707	1.3304669812666594	500	1.1567143341611736	0.04627490689448419	3.7547919329513872	0.001996007984031936	1
GSE217414	19G02977	caf_to_met	score_caf_core	MET	12	602	643	1072	1.9419829380086406	500	3.1724064171230184	1.4018812861278485	-0.8776944890340492	0.8582834331337326	0
GSE217414	19G02977	spp1_cxcl12_lite_to_myc	score_spp1_cxcl12_axis_desoverlap_2026	MYC	12	627	829	861	2.1248780585083638	500	1.9070291204295415	0.10024743446197654	2.1731123519320734	0.02594810379241517	1
GSE217414	19G02977	hla_drb5_lite_to_myc	score_hla_drb5_macrophage_axis_desoverlap_2026	MYC	12	453	1157	707	1.3151187997678564	500	1.1319884856833515	0.0530961638942012	3.4490309780082833	0.001996007984031936	1
GSE217414	19G0619	caf_to_spp1_cxcl12_lite	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	12	876	1393	1110	1.0218814760411894	500	0.9743101750369729	0.011599852235452842	4.1010264647012855	0.001996007984031936	1
GSE217414	19G0619	caf_to_hla_drb5_lite	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	12	876	1393	1110	1.3298205977335644	500	1.1821669045939642	0.053302834565609095	2.7700908280563774	0.007984031936127744	1
GSE217414	19G0619	spp1_cxcl12_lite_to_myc_glycolysis_lite	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	12	867	1232	1280	1.5589411584476165	500	1.3923436925208545	0.06367009592549766	2.6165731887965546	0.007984031936127744	1
GSE217414	19G0619	hla_drb5_lite_to_myc_glycolysis_lite	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	12	1498	1674	207	1.561499508865821	500	1.456903105282516	0.14948283648260047	0.6997218279001532	0.23952095808383234	0
GSE217414	19G0619	caf_to_met	score_caf_core	MET	12	876	1393	1110	1.012313341387682	500	0.858141726011103	0.1906676905140347	0.8085880463592791	0.1936127744510978	0
GSE217414	19G0619	spp1_cxcl12_lite_to_myc	score_spp1_cxcl12_axis_desoverlap_2026	MYC	12	867	1232	1280	1.4737629596084707	500	1.3427768970954643	0.09330668591272824	1.4038229011318704	0.09381237524950099	0
GSE217414	19G0619	hla_drb5_lite_to_myc	score_hla_drb5_macrophage_axis_desoverlap_2026	MYC	12	1498	1674	207	1.4738042193314878	500	1.424886740654292	0.20833999126487565	0.23479639401061464	0.37325349301397204	0
GSE217414	19G0635	caf_to_spp1_cxcl12_lite	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	12	524	594	973	1.4007158869949545	500	1.2225344929259554	0.014045043472428137	12.686425244520425	0.001996007984031936	1
GSE217414	19G0635	caf_to_hla_drb5_lite	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	12	524	594	973	1.5143477529489013	500	1.3580559927995781	0.06762878096476722	2.311024358560404	0.015968063872255488	1
GSE217414	19G0635	spp1_cxcl12_lite_to_myc_glycolysis_lite	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	12	523	615	953	1.455178386213577	500	1.2394876779195987	0.020424630061895845	10.560323865858923	0.001996007984031936	1
GSE217414	19G0635	hla_drb5_lite_to_myc_glycolysis_lite	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	12	1058	921	112	1.5417425458205747	500	1.2948580825252172	0.04932837144049952	5.004918185737239	0.001996007984031936	1
GSE217414	19G0635	caf_to_met	score_caf_core	MET	12	524	594	973	1.75827030095205	500	1.3608983362165588	0.08808701497938264	4.5111298734381995	0.001996007984031936	1
GSE217414	19G0635	spp1_cxcl12_lite_to_myc	score_spp1_cxcl12_axis_desoverlap_2026	MYC	12	523	615	953	1.3780752251298043	500	1.203507376275518	0.015627740854305284	11.170382877586217	0.001996007984031936	1
GSE217414	19G0635	hla_drb5_lite_to_myc	score_hla_drb5_macrophage_axis_desoverlap_2026	MYC	12	1058	921	112	1.4849107725277695	500	1.2902902961221543	0.044861388265363296	4.338262455330173	0.001996007984031936	1
