dataset	sample_id	sample	tissue	effect_id	claim_layer	source	target	neighbor_background_ratio	empirical_p_ge_observed	z_score	positive_ratio	p_le_0_05	high_source_spots	neighbor_spots	background_spots
GSE225857	L1	L1	LCT	caf_to_met	CAF-to-MET	score_caf_core	MET	1.9548003427597689	0.001996007984031936	17.93110612645339	1	1	1169	941	2562
GSE225857	L1	L1	LCT	caf_to_spp1_cxcl12_lite	CAF-to-stromal/myeloid	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	1.585217569319232	0.001996007984031936	30.881313538041013	1	1	1169	941	2562
GSE225857	L1	L1	LCT	caf_to_hla_drb5_lite	CAF-to-myeloid	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	1.859380205747312	0.001996007984031936	33.91044796411033	1	1	1169	941	2562
GSE225857	L1	L1	LCT	spp1_cxcl12_lite_to_myc	stromal/myeloid-to-MYC	score_spp1_cxcl12_axis_desoverlap_2026	MYC	1.3441442733486915	0.001996007984031936	14.077349833484572	1	1	1171	1197	2304
GSE225857	L1	L1	LCT	spp1_cxcl12_lite_to_myc_glycolysis_lite	stromal/myeloid-to-tumor-metabolic	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	1.4707621666634847	0.001996007984031936	19.641645011935598	1	1	1171	1197	2304
GSE225857	L1	L1	LCT	hla_drb5_lite_to_myc	myeloid-to-MYC	score_hla_drb5_macrophage_axis_desoverlap_2026	MYC	1.1321107438031703	0.001996007984031936	5.19426764193784	1	1	1185	1087	2400
GSE225857	L1	L1	LCT	hla_drb5_lite_to_myc_glycolysis_lite	myeloid-to-tumor-metabolic	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	1.2223412595037682	0.001996007984031936	9.849114977095574	1	1	1185	1087	2400
GSE225857	L2	L2	LCT	caf_to_met	CAF-to-MET	score_caf_core	MET	1.8750795143022179	0.001996007984031936	9.279147620869859	1	1	1218	815	2763
GSE225857	L2	L2	LCT	caf_to_spp1_cxcl12_lite	CAF-to-stromal/myeloid	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	1.4241247970128283	0.001996007984031936	14.059014629204672	1	1	1218	815	2763
GSE225857	L2	L2	LCT	caf_to_hla_drb5_lite	CAF-to-myeloid	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	1.0799523317819097	0.029940119760479042	1.9516643663378714	1	1	1218	815	2763
GSE225857	L2	L2	LCT	spp1_cxcl12_lite_to_myc	stromal/myeloid-to-MYC	score_spp1_cxcl12_axis_desoverlap_2026	MYC	1.6658809481932855	0.001996007984031936	22.039732613412628	1	1	1505	1846	1445
GSE225857	L2	L2	LCT	spp1_cxcl12_lite_to_myc_glycolysis_lite	stromal/myeloid-to-tumor-metabolic	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	1.7336641337654477	0.001996007984031936	26.306655630661208	1	1	1505	1846	1445
GSE225857	L2	L2	LCT	hla_drb5_lite_to_myc	myeloid-to-MYC	score_hla_drb5_macrophage_axis_desoverlap_2026	MYC	1.0391975515624654	0.1277445109780439	1.1395474330450577	1	0	1486	2343	967
GSE225857	L2	L2	LCT	hla_drb5_lite_to_myc_glycolysis_lite	myeloid-to-tumor-metabolic	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	1.0522550816439686	0.027944111776447105	1.8874013061996122	1	1	1486	2343	967
GSE217414	GSM6716963_19G081	19G081	CRLM	caf_to_met	CAF-to-MET	score_caf_core	MET	1.7940351119521705	0.001996007984031936	6.164528187627449	1	1	726	1110	1051
GSE217414	GSM6716963_19G081	19G081	CRLM	caf_to_spp1_cxcl12_lite	CAF-to-stromal/myeloid	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	1.4070340875466862	0.001996007984031936	19.376007912327093	1	1	726	1110	1051
GSE217414	GSM6716963_19G081	19G081	CRLM	caf_to_hla_drb5_lite	CAF-to-myeloid	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	1.4906313855035895	0.001996007984031936	8.176329032351381	1	1	726	1110	1051
GSE217414	GSM6716963_19G081	19G081	CRLM	spp1_cxcl12_lite_to_myc	stromal/myeloid-to-MYC	score_spp1_cxcl12_axis_desoverlap_2026	MYC	1.7657838288745078	0.001996007984031936	17.908443339037827	1	1	724	679	1484
