dataset	sample	effect_id	risk_tested	source	target	original_source	original_target	original_ratio	audited_ratio	ratio_retention_vs_original	global_shuffle_null_mean	global_shuffle_null_sd	global_shuffle_p_ge_observed	random_target_controls	random_target_mean_ratio	random_target_median_ratio	random_target_p95_ratio	random_target_p_ge_observed	positive_after_ablation	beats_random_p_0_05
GSE217414	19G02977	caf_to_cxcl12_fn1_cd44_ablation	SPP1/CXCL12-lite label without HIF1A/CTNNB1 broad-stress genes	score_caf_core	score_cxcl12_fn1_cd44_stromal_stress	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	1.5529582781284714	1.1793742086700874	0.7594371499093947	1.0030428391098696	0.03986356149277045	0.004975124378109453	200	2.0345508845057396	2.0040922564193258	2.826250192285996	0.9502487562189055	1	0
GSE217414	19G02977	caf_to_hla_drb5_no_ptprc	PTPRC leakage in HLA-DRB5-lite module	score_caf_core	score_hla_drb5_no_ptprc	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	1.2272905936521448	1.2877546957701842	1.049266328961352	0.9914672099287389	0.11707590953184269	0.024875621890547265	200	2.2522734939747515	2.328937298878654	3.7928603768128744	0.8507462686567164	1	0
GSE217414	19G02977	cxcl12_fn1_cd44_to_myc_glycolysis_no_myc	MYC circularity and broad HIF1A/CTNNB1 source contribution	score_cxcl12_fn1_cd44_stromal_stress	score_myc_glycolysis_no_myc	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	2.1432567941261578	1.8502652574548253	0.8632961120317876	1.0134837362683358	0.0714001312915096	0.004975124378109453	200	1.5665132606364234	1.5524558980138055	1.918837844030515	0.13432835820895522	1	0
GSE217414	19G02977	hla_drb5_no_ptprc_to_myc_glycolysis_no_myc	PTPRC leakage plus MYC circularity	score_hla_drb5_no_ptprc	score_myc_glycolysis_no_myc	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	1.3304669812666594	1.3912444684799117	1.045681319468289	0.9998179586346998	0.06633170264945275	0.004975124378109453	200	1.4242627757375328	1.3872333311839506	1.6846829035708548	0.4925373134328358	1	0
GSE217414	19G0619	caf_to_cxcl12_fn1_cd44_ablation	SPP1/CXCL12-lite label without HIF1A/CTNNB1 broad-stress genes	score_caf_core	score_cxcl12_fn1_cd44_stromal_stress	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	1.0218814760411894	0.9394005380209318	0.9192852204936799	0.997724936261836	0.016675682343220196	1.0	200	1.3305486767510148	1.3786110494620725	1.5251324799061308	0.945273631840796	0	0
GSE217414	19G0619	caf_to_hla_drb5_no_ptprc	PTPRC leakage in HLA-DRB5-lite module	score_caf_core	score_hla_drb5_no_ptprc	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	1.3298205977335644	1.341877860453483	1.0090668340830844	1.003937564111135	0.0559532617715637	0.004975124378109453	200	1.230894721501449	1.3230219264868983	1.5929941272558719	0.4626865671641791	1	0
GSE217414	19G0619	cxcl12_fn1_cd44_to_myc_glycolysis_no_myc	MYC circularity and broad HIF1A/CTNNB1 source contribution	score_cxcl12_fn1_cd44_stromal_stress	score_myc_glycolysis_no_myc	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	1.5589411584476165	1.1390182522801213	0.730635820414382	1.0031107828659303	0.06388060194595208	0.03482587064676617	200	1.346173525645616	1.2827729183451857	2.0230390993802856	0.6666666666666666	1	0
GSE217414	19G0619	hla_drb5_no_ptprc_to_myc_glycolysis_no_myc	PTPRC leakage plus MYC circularity	score_hla_drb5_no_ptprc	score_myc_glycolysis_no_myc	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	1.561499508865821	1.6726900963965021	1.0712075712476166	1.0170106434165196	0.1159046008618656	0.004975124378109453	200	1.7301448935273365	1.5934275461207286	3.1479207187369767	0.4129353233830846	1	0
GSE217414	19G0635	caf_to_cxcl12_fn1_cd44_ablation	SPP1/CXCL12-lite label without HIF1A/CTNNB1 broad-stress genes	score_caf_core	score_cxcl12_fn1_cd44_stromal_stress	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	1.4007158869949545	1.4079787638447647	1.005185117779589	0.9981312288339583	0.017717270596358775	0.004975124378109453	200	1.4919883994755756	1.4620053393936687	1.7080800876630158	0.8805970149253731	1	0
GSE217414	19G0635	caf_to_hla_drb5_no_ptprc	PTPRC leakage in HLA-DRB5-lite module	score_caf_core	score_hla_drb5_no_ptprc	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	1.5143477529489013	1.5022480211630238	0.9920099384290593	0.9939498892675992	0.0627149962106022	0.004975124378109453	200	1.8529165213785248	1.7812085316542483	2.31191324367725	1.0	1	0
