cohort	sample_key	sample	sample_type	technology	n_spots	reaction	description	metric	mean	median	q25	q75	pct_negative	pct_positive	pct_zero
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	EX_lac__L_e	lactate_exchange_negative_is_uptake	meanNormalized	0.016021876933824786	0.014912334566999998	-0.0209099480475	0.053342328293499996	0.39150148012140745	0.6084985198785926	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	EX_lac__L_e	lactate_exchange_negative_is_uptake	meanFlux	16.02187693382478	14.912334567	-20.909948047500002	53.342328293499996	0.39150148012140745	0.6084985198785926	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	EX_glc__D_e	glucose_exchange_negative_is_uptake	meanNormalized	-0.0023648910809198663	-0.0012549302657172336	-0.0037035964165643602	0.0009607942898248397	0.6675160190354854	0.33248398096451454	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	EX_glc__D_e	glucose_exchange_negative_is_uptake	meanFlux	-1.5081737511832727	-0.6986008180000002	-2.8873409399999996	1.7239464379999998	0.6034773485217522	0.39652265147824783	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	EX_o2_e	oxygen_exchange_negative_is_uptake	meanNormalized	-0.22002066527267575	-0.177885515314	-0.3319089056175	-0.1058695713275	1.0	0.0	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	EX_o2_e	oxygen_exchange_negative_is_uptake	meanFlux	-220.02066527267579	-177.88551531399997	-331.90890561750007	-105.86957132750001	1.0	0.0	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	EX_gln__L_e	glutamine_exchange	meanNormalized	-0.13712965585302184	-0.08438510116600001	-0.2269044734635	-0.035694613263	0.9857233859182374	0.014276614081762656	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	EX_gln__L_e	glutamine_exchange	meanFlux	-137.12965585302183	-84.385101166	-226.9044734635	-35.694613263	0.9857233859182374	0.014276614081762656	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	EX_glu__L_e	glutamate_exchange	meanNormalized	-0.011908096379396035	-0.012298417295	-0.03192483504	0.0037190219724999984	0.7125941469629408	0.28740585303705923	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	EX_glu__L_e	glutamate_exchange	meanFlux	-11.908096379396033	-12.298417295	-31.92483504	3.7190219724999993	0.7125941469629408	0.28740585303705923	0.0
