comparison	signature	positive_label	negative_label	n_positive	n_negative	mean_positive	mean_negative	mean_difference	cohen_d	mann_whitney_p	rank_delta
advanced_stage_vs_early	caf_core	advanced	early	134	182	0.13107999253731342	-0.09661727472527473	0.22769726726258815	0.26903898842265256	0.016415391987225636	0.15794653108085943
advanced_stage_vs_early	mcam_caf	advanced	early	134	182	0.14780867164179104	-0.1116587032967033	0.25946737493849437	0.2981903345855072	0.012446834929453754	0.16450713465638844
advanced_stage_vs_early	hgf_met_axis	advanced	early	134	182	0.06702119402985075	-0.0564502032967033	0.12347139732655404	0.18030567709339804	0.07400567463132846	0.11759881909135639
advanced_stage_vs_early	myc_glycolysis_core	advanced	early	134	182	-0.04847105223880597	0.040128587912087905	-0.08859964015089387	-0.14365652002451898	0.2958911110746554	-0.06880432999835984
advanced_stage_vs_early	plasticity_emt	advanced	early	134	182	0.06612920895522388	-0.05241493406593406	0.11854414302115794	0.27422891985615977	0.016083210462646047	0.15843857634902414
advanced_stage_vs_early	macrophage_lipid_candidate	advanced	early	134	182	-0.03321881343283582	0.02200916483516483	-0.05522797826800065	-0.07820861725148236	0.5792966639691732	-0.03649335738887982
advanced_stage_vs_early	cxcl13_t_cells	advanced	early	134	182	-0.11150326865671642	0.06714749450549451	-0.17865076316221093	-0.20776450914401756	0.03407139721710584	-0.13949483352468428
advanced_stage_vs_early	caf_met_myc_glycolysis_composite	advanced	early	134	182	0.07435970149253732	-0.05614939835164835	0.13050909984418568	0.23745409703303616	0.03792908849737553	0.13662456946039025
m_positive_vs_m0	caf_core	positive	negative	46	217	0.09458880434782607	-0.00227835483870968	0.09686715918653575	0.11732396614435966	0.674205007790913	0.03947104788619504
m_positive_vs_m0	mcam_caf	positive	negative	46	217	0.10644169565217391	-0.018946525345622117	0.12538822099779603	0.14784202441301705	0.45771956426073523	0.0697255059106392
m_positive_vs_m0	hgf_met_axis	positive	negative	46	217	0.006074608695652174	0.016446221198156682	-0.010371612502504509	-0.014842284913897219	0.9201104106965272	-0.00941695051091962
m_positive_vs_m0	myc_glycolysis_core	positive	negative	46	217	-0.13283528260869565	0.04997385714285714	-0.18280913975155277	-0.30385522892787725	0.059819046565892986	-0.17671809256661997
m_positive_vs_m0	plasticity_emt	positive	negative	46	217	0.03955171739130435	-0.003511926267281105	0.043063643658585456	0.09881096406974789	0.7489006483102396	0.030054097375275424
m_positive_vs_m0	macrophage_lipid_candidate	positive	negative	46	217	-0.07824052173913044	0.047328110599078335	-0.12556863233820878	-0.1859445945018232	0.20495742260036764	-0.11901422560609098
m_positive_vs_m0	cxcl13_t_cells	positive	negative	46	217	-0.19894258695652173	0.0656645069124424	-0.26460709386896414	-0.3239922429547838	0.023177263756279487	-0.2131837307152875
