var_x	var_y	pearson_r	p_value	n	interpretation
MET	MYC	0.515211	1.00e-300	329	strong (significant)
HGF	MET	-0.080518	1.44e-01	329	negligible (not significant)
HGF	MYC	0.016877	7.60e-01	329	negligible (not significant)
MYC	SLC2A1	0.249789	3.09e-06	329	weak (significant)
MYC	HK2	-0.302871	9.10e-09	329	moderate (significant)
MYC	LDHA	0.201126	2.05e-04	329	weak (significant)
MYC	ENO1	0.277227	1.81e-07	329	weak (significant)
MET	SLC2A1	0.355021	6.55e-12	329	moderate (significant)
HGF	COL1A1	0.470441	1.00e-300	329	moderate (significant)
HGF	FAP	0.408597	4.44e-16	329	moderate (significant)
MCAM	COL1A1	0.583340	1.00e-300	329	strong (significant)
score:caf_core	HGF	0.674852	1.00e-300	329	strong (significant)
score:caf_core	MET	0.024133	6.62e-01	329	negligible (not significant)
score:myc_glycolysis_core	HGF	-0.212726	8.26e-05	329	weak (significant)
MYC	score:myc_glycolysis_core	0.421937	1.00e-300	329	moderate (significant)
MET	score:myc_glycolysis_core	0.319514	1.08e-09	329	moderate (significant)
HGF	score:caf_core	0.674852	1.00e-300	329	strong (significant)
score:hgf_met_axis	score:myc_glycolysis_core	0.078747	1.53e-01	329	negligible (not significant)
score:hgf_met_axis	score:caf_core	0.515444	1.00e-300	329	strong (significant)
score:mcam_caf	score:cxcl13_t_cells	0.288397	5.14e-08	329	weak (significant)
score:plasticity_emt	score:myc_glycolysis_core	-0.045303	4.12e-01	329	negligible (not significant)
score:macrophage_lipid_candidate	score:caf_core	0.685299	1.00e-300	329	strong (significant)
