sample_id	caf_core	cxcl13_t_cells	hgf_met_axis	macrophage_lipid_candidate	mcam_caf	myc_glycolysis_core	plasticity_emt
TCGA-CA-5256-01	-0.550788	0.312774	-0.042925	0.163335	-0.727980	0.322806	-0.316258
TCGA-AZ-6599-01	-2.033320	-0.541226	-1.002489	-1.107250	-2.404528	-0.899712	-0.560599
TCGA-AA-3655-01	0.165754	-0.081131	0.995484	-0.052753	0.009043	0.496203	-0.432160
TCGA-A6-6137-01	-0.553443	-0.105355	0.643997	-0.110626	-0.538638	0.373516	0.266815
TCGA-CK-4952-01	-0.399686	-1.330489	-0.215214	-0.635171	-0.465784	0.822312	-0.444344
TCGA-A6-5657-01	1.062459	0.600608	0.667756	0.129985	1.281450	0.140705	0.217133
TCGA-AD-6963-01	-0.601911	0.539465	0.780790	-0.589493	-0.879539	0.630781	-0.815078
TCGA-AA-3663-11	0.147868	0.690021	-0.879102	0.885475	0.616791	-0.893252	0.262243
TCGA-A6-6138-01	0.323456	1.015517	1.389544	1.093057	0.367460	0.158804	0.301677
TCGA-A6-A567-01	0.059194	-0.572191	0.331791	-0.585458	0.165431	-0.290915	-0.412878
TCGA-AA-3712-11	-0.445118	0.500758	-0.895496	0.230816	-0.744932	-0.895199	-0.245019
TCGA-D5-6928-01	0.907954	2.233986	0.513983	1.503523	0.769881	-0.940033	-0.382265
TCGA-AZ-6598-01	0.018097	-0.166925	-0.462540	0.128851	-0.222875	0.298116	-0.507336
TCGA-D5-6931-01	0.459946	0.354055	-0.061306	0.268216	0.218640	1.335038	0.091960
TCGA-G4-6295-01	-0.711859	0.970933	-0.356338	0.175143	-0.961869	0.001682	-0.134061
TCGA-AA-A01X-01	-0.389174	-0.395902	-0.088583	-0.680265	-0.143963	-0.628210	-0.400037
TCGA-AZ-4313-01	-0.347395	-0.430731	-1.379985	-1.069399	-0.417200	0.772104	-1.152458
TCGA-DM-A0XD-01	0.252591	-0.849808	-0.796571	-1.018801	0.070435	0.997584	-0.529968
TCGA-D5-6535-01	-0.030754	0.165885	0.950906	0.180303	-0.175694	0.367826	0.158574
TCGA-AA-3509-01	-0.194918	0.048135	0.062578	0.070026	-0.112412	0.201768	-0.215160
TCGA-DM-A28E-01	-1.525099	-1.516787	-0.744879	-0.950232	-1.802356	-0.762927	-0.601948
TCGA-A6-5667-11	-0.573698	0.566098	-1.064389	0.079019	-0.437684	-0.589568	0.027629
TCGA-G4-6307-01	-0.999174	-0.664570	-0.459861	-1.114957	-0.814390	0.043630	-0.086848
TCGA-A6-2682-01	0.771948	-0.477206	0.259936	0.040149	0.775517	1.231543	0.485511
TCGA-CM-5868-01	0.575865	-0.805197	-0.074812	-0.263813	0.417777	-0.313461	0.382055
TCGA-CK-4947-01	0.412629	0.617594	0.325428	0.505068	0.043434	0.023063	0.428847
TCGA-D5-5540-01	-0.596643	-0.105108	-0.143802	-0.669951	-0.793283	0.097089	-0.354421
TCGA-A6-4105-01	0.441969	0.947433	0.666532	0.646040	0.346141	0.783194	0.132116
TCGA-A6-6651-01	1.378174	1.032005	0.783585	1.218423	1.681165	-0.769038	0.021010
TCGA-G4-6625-01	0.276435	1.063257	0.676330	1.038737	0.093752	-0.487895	0.297163
TCGA-CM-5860-01	1.264593	0.070435	0.286206	0.432313	1.022371	0.003067	0.598906
TCGA-DM-A28G-01	-0.897864	-0.254706	-0.126435	-0.631816	-0.992682	-0.521281	0.018233
TCGA-A6-5666-01	-0.939880	-1.700546	-0.910010	-1.124945	-0.772489	0.822454	0.054763
TCGA-A6-2675-11	0.281503	-0.247614	0.083044	0.037588	0.856105	-1.061816	0.389148
TCGA-AA-3516-11	-0.562923	1.443065	-1.269364	0.524315	-0.304426	-0.386326	0.408629
TCGA-AZ-6605-01	1.473118	0.786977	0.582572	0.850460	1.399104	-0.194557	0.627109
TCGA-CA-5797-01	0.289279	0.246956	0.611014	0.121995	0.313037	0.190403	0.078782
TCGA-D5-6930-01	0.630130	1.155189	-0.235692	0.384364	0.535214	0.309527	0.057800
TCGA-5M-AAT4-01	-0.543580	-1.016142	0.044247	-0.810341	-0.415817	0.746475	-0.422136
TCGA-AA-3685-01	-0.182944	0.889174	0.338119	0.372388	-0.487565	0.894321	-0.825121
TCGA-D5-6924-01	1.111402	0.572088	0.662785	0.576516	1.141512	-0.168838	0.321683
TCGA-CA-6718-01	0.364583	0.831685	-0.548733	0.741640	0.399676	-0.185802	-0.338559
TCGA-AZ-6603-01	0.503120	-0.087189	0.424889	0.223600	0.562788	-0.292594	0.503252
TCGA-CM-5862-01	-0.051047	-1.287308	-0.401866	-0.517818	-0.212919	-0.767713	-0.042411
TCGA-AZ-6598-11	0.141009	0.678705	-0.969442	0.111795	0.753032	-0.674379	0.115750
TCGA-AA-A01Z-01	-0.606002	-1.743517	0.504075	-0.935467	-0.598017	0.595273	-0.233569
TCGA-DM-A0X9-01	-0.418452	0.292743	-0.449674	-0.502348	-0.400648	0.031204	-0.251182
TCGA-A6-A566-01	1.986833	0.469636	0.830303	1.251585	2.241680	-0.124973	0.070133
TCGA-A6-5662-11	0.166332	1.081096	-1.229053	0.332483	0.548680	-0.917171	0.360722
